n,date,speakers,original_n,Missing Topic,in_book,in_online_archive,type,topic_referendum,topic_ecuador,topic_lucchetti_factory,topic_municipal98,topic_reelection,topic_miraflores,topic_canal4,topic_media,topic_promotions,topic_ivcher,topic_foreign,topic_wiese,topic_public_officials,topic_safety,topic_state_capture,summary
23,5/19/1998,"Jaime Beltrán Quiroga, Montesinos Torres",892,,x,x,video,,x,,,,,,,,,,,,,,"Montesinos meets with Supreme Court Justice Jaime Beltrán Quiroga, a former classmate, to pressure him over the Yanacocha mining dispute between the Peruvian-US consortium Newmont-Buenaventura and the French company BRGM. Montesinos emphasizes the geopolitical importance of the case, citing U.S. involvement via the Rio de Janeiro Protocol and the need to preserve diplomatic relations with Ecuador ahead of its elections. He downplays France’s influence and implies that Beltrán should vote in favor of national interest by supporting Newmont-Buenaventura. Montesinos also hints that siding with the government could benefit Beltrán’s judicial career."
24,5/20/1998,"Denis Jett, Marino Costa, Montesinos Torres",894,x,x,,audio,,,,,,,,x,,,x,,,x,,"Montesinos, Health Minister Costa Bauer, and U.S. Ambassador Dennis Jett meet to ease tensions caused by a controversial TV broadcast about General McCaffrey’s visit. Costa clarifies that the segment was independently edited and urges a joint statement to reaffirm cooperation. Montesinos agrees, emphasizing Peru’s strong counter-narcotics ties with the U.S. and proposing reforms to money laundering laws, real-time bank monitoring, and improved protections for undercover agents. He also suggests legal changes to clarify maritime enforcement roles. Ambassador Jett remains cautious but agrees to explore a public statement. Montesinos proposes a symbolic appearance with President Fujimori to reinforce diplomatic unity. The meeting ends with light conversation and birthday wishes."
8,1/20/1998,"Julio Vera Abad, Vladimiro Montesinos",896,x,x,,audio,,,,,,,,x,,,,,,,x,"Montesinos meets with businessman Julio Vera Abad to discuss the potential secret sale of ATV (Canal 9) to the Military and Police Pension Fund. Vera offers the channel for $10 million, citing personal and legal reasons for the urgent sale, and claims full control over 95% of shares. He presents the channel as a strong asset with national reach and high revenue. Montesinos agrees to evaluate ATV’s finances and legal status before committing. They plan for Montesinos’s team to review the documents at Vera’s residence the next day."
27,6/12/1998,"Santander, Javier Valle Riestra Gonzales Olaechea, Montesinos Torres.",904,,x,x,video,,,,,,,,,,,,,,x,,"Montesinos and Prime Minister Valle Riestra discuss Fujimori’s successes, national reconstruction, and threats to stability from El Niño, unemployment, and judicial dysfunction. Montesinos frames Peru’s harsh counter-terrorism measures, including military tribunals, as necessary for state survival. He highlights the silent role of intelligence operators, contrasting it with politicians like Valle Riestra. The conversation builds a relationship, with Montesinos offering guidance as Valle Riestra begins his term. They agree Valle Riestra’s first act will be the release of 30 falsely accused prisoners, with more policy discussions to follow."
28,6/13/1998,"Santander, Montesinos Torres",907,,x,x,video,,,,,,,,,,,,,,,x,"Montesinos and Santander, advisor to Prime Minister Valle Riestra, discuss budgeting issues at OSPITEL, where Valle Riestra wants increased compensation for advisors. Montesinos insists budget changes are unconstitutional due to OSPITEL’s regulatory status. They also plan to reframe Valle Riestra’s public image as a flexible and supportive Prime Minister who advances Fujimori’s agenda. Topics include unemployment, crime, judicial reform, and national reconstruction. Santander pledges loyalty to Montesinos and Fujimori, and they plan a follow-up meeting to coordinate national strategies."
30,7/20/1998,"Garcia Marcelo, Hernandez Canelo, Montesinos Torres",913,,x,x,video,x,x,,,x,,,,,,,,,,x,"Montesinos meets with Magistrates José García Marcelo and Walter Hernández to influence a resolution by ONPE regarding a potential 2000 referendum. They debate constitutional interpretations to delay or block the referendum process, favoring congressional control. Montesinos stresses the need to marginalize ONPE’s role and anticipates opposition from Lourdes Flores and Javier Diez Canseco. He also briefly addresses national unity in response to Ecuadorian military tensions, noting the importance of political stability ahead of Peru’s upcoming presidential transition."
31,7/21/1998,"Medelius Rodrigo, Romulo Munoz, Montesinos Torres",916,,x,x,video,x,,,,x,,,,,,,,,,x,"Montesinos meets with Congressman Oscar Medelius and JNE magistrate Rómulo Muñoz to devise a legal strategy to prevent a referendum challenging Fujimori’s reelection. They explore Article 44 of the Constitution to argue that the referendum could threaten national security. The plan involves manipulating the ONPE and JNE timelines, ensuring the referendum is blocked or delayed under the guise of constitutional and procedural concerns. Timing is coordinated around Ecuador’s presidential transition, aiming to project internal unity before challenging the referendum initiative."
14,3/5/1998,"Barley, Delegacion Israeli",919,,x,x,audio,x,,,,,,,,,,,,,,,"Montesinos holds a strategic meeting with Generals Hermosa, Rosales, and Medina to coordinate control over the judiciary and upcoming Supreme Court appointments. They discuss manipulating the National Council of the Magistrature (CNM) and using media and intelligence services to suppress dissent. The goal is to reinforce Fujimori’s power by weakening institutional checks. Emphasis is placed on discretion and military support in executing this covert consolidation of control."
2,3/26/1997,Luis Percovich,1016,,x,,video,,,,,,,,,,,x,,,x,,"Former Prime Minister Luis Pércovich testifies about his relationship with Sigmund Markovich in an anti-narcotics case. He describes Markovich’s intelligence contributions during Operación Cóndor, including identifying jungle airstrips and coca activity. Pércovich links a suspicious 1994 house fire at Markovich’s residence to possible political retaliation. He confirms no business ties, only personal support, and mentions delivering a character letter. He also criticizes APRA and discusses informal censorship of Alan García’s books."
3,3/26/1997,Pablo Lupis Cid,1017,,x,,video,,,,,,,,,,,,,x,,x,"Pablo Lupis Cid, manager of Ramosa, testifies about managing companies owned by Sara Markovich. He confirms Markovich receives substantial unreported profits annually via informal transfers and acts as the effective owner. Lupis avoids providing financial documentation, citing confidentiality, and admits to verbal arrangements about future ownership. He denies knowing details of Sigmund Markovich’s business dealings but acknowledges a longstanding friendship."
37,9/8/1998,"Alex Kouri, Montesinos Torres",1172,x,x,,audio,,,,,,,,,,,x,,x,,,"Montesinos meets with Callao Mayor Alex Kouri to discreetly manage a drug trafficking case involving Kouri’s cousin. Montesinos confirms the charges are serious but offers a legal path through cooperation. He arranges a secret meeting between Kouri and his cousin under DINANDRO supervision. The goal is to avoid media exposure and political fallout. Kouri expresses concern for family reputation, and Montesinos promises confidentiality and legal support."
38,9/9/1998,"Antonio Ibárcena, Alex Kouri, Francisco Kouri, Montesinos Torres",1174,x,x,,video,,,,,,,,,,,,,x,x,x,"Montesinos and Kouri discuss Francisco Kouri’s cooperation in his drug case, aiming to reclassify it as consumption to avoid prison. They also address political threats from Lima Mayor Andrade, who is challenging Kouri’s party symbol. Montesinos agrees to intervene with the JNE to preserve the symbol and restructure CORDELICA to strengthen Kouri’s political control in Callao. The conversation highlights Montesinos’s role in both legal strategy and electoral manipulation."
39,9/10/1998,"Alex Kouri, Montesinos Torres",1177,x,x,,audio,,,,,x,,x,x,,,,,x,,,"Montesinos, Kouri, and Admiral Ibárcena coordinate damage control over corruption leaks in Callao and plan a media campaign against Lima Mayor Andrade. Montesinos promises legal protection and orchestrates a three-part media strategy involving government statements, TV appearances, and narrative control. They aim to frame Kouri as transparent and Andrade as deceitful. The conversation ends with confirmation that Francisco Kouri will cooperate legally, securing him potential leniency."
41,9/15/1998,"Alex Kouri, Montesinos Torres",1182,x,x,,audio,,,,,,,,x,,,,,,,,"Montesinos and Mayor Alex Kouri engage in a relaxed conversation covering personal anecdotes, political gossip, and Kouri’s travel ambitions. Kouri discusses avoiding scandal as a public figure, criticizes Martha Chávez’s investigations into government trips, and shares frustrations with political rivals, including his own family and Mayor Andrade. The conversation briefly touches on CORDELICA appointments and ends with Kouri describing his evening community outreach work as Montesinos arrives."
42,9/22/1998,"Luis Venero Garrido, Ernesto Gamarra Olivares, Roberto Huaman Azcurra, Manuel Tafur Ruiz",1192,,x,x,video,,,,,,,,x,,,,,,,,"Luis Venero Garrido, linked to arms trafficking, rehearses with Huamán Azcurra how to deliver a bribe to Congressman Ernesto Gamarra Olivares. Gamarra enters, accepts a cash-filled suitcase, and discusses using media influence to shift attention away from Venero’s family, particularly his brother Víctor, involved in illegal arms deals. The meeting highlights coordination between corrupt politicians, military figures, and media manipulation."
43,10/12/1998,"Trelles Montero, Alberto Fujimori",1230,,x,x,video,,x,,,,,,x,,,,,,,,"President Fujimori instructs Congressman Jorge Trelles to meet Ecuadorian President-elect Jamil Mahuad and promote a peace agreement within 90 days. They discuss gaining congressional support while condemning opposition voices like Carlos Ferrero, who publicly criticized the peace effort. Fujimori receives a call from Mahuad and confirms a vote will occur the next day, aiming for a unified message from Peru’s government."
51,1/5/1999,"Joy Way Rojas, Maria Cuculiza Torre, Montesinos Torres",1292,,x,x,video,,,,,,,,,,,,,x,,,"Montesinos meets with Congressmember Joy Way and Mayor Luisa María Cuculiza, urging her to publicly denounce her former party leader, Andrade, to disassociate from Somos Perú. He offers her a ministerial role in women’s affairs as a political reward. Though Cuculiza resists initially, she agrees to align with Fujimori’s strategy, aiming for future congressional leadership. Both criticize opposition figure Carlos Ferrero."
6,1/12/1998,"Patricio Ricketts, Montesinos Torres",1312,,x,,video,,,,,,,,x,,,,,,x,,"Montesinos records a prison interview with Shining Path founder Abimael Guzmán, documenting the group's ideological roots, armed struggle, and eventual defeat. Guzmán discusses the group’s history and motivations. Montesinos intends to use this footage to discredit the insurgency and support the government's peace narrative by portraying Guzmán as defanged and ideologically spent."
46,11/12/1998,"Romulo Muños, Montesinos Torres",1321,,x,x,video,,,,,x,,,,,,,,,,,"Montesinos and Rómulo Muñoz Arce discuss a TV broadcast by journalist César Hildebrandt, who is critical of the regime. They agree on pressuring media outlets to silence him. Montesinos arranges a first-class flight and customs assistance for Muñoz’s daughter. They also discuss voting ID verification issues, proposing measures to prevent homonymy and ensure more accurate voter registration."
47,11/23/1998,"Manuel Guillen, Montesinos Torres",1324,x,x,,video,x,x,,,,,,,,,,,,,x,"A senior enlisted member files a formal complaint against COL José E. Plaza-Ortiz and CW2 José L. Plaza-Rosado for repeated disrespect, exclusion from official events, and violations of Army regulations. Despite previous complaints, no resolution has been reached. The memo documents a toxic leadership environment and requests IG intervention and possible reprimand of COL Plaza."
58,4/21/1999,"Eduardo Calmell Del Solar, Montesinos Torres",1492,,x,x,audio,,,,,,,,x,,x,,,,,,"Montesinos and Eduardo Calmell del Solar finalize plans for Calmell to support the regime’s media strategy for the next 12–15 months. Montesinos requests a reporter to accompany an upcoming trip to Colombia, and Calmell offers Jorge Morelli. They also discuss efforts to pressure Emilio Rodríguez Larraín into abandoning defense of media owner Baruch Ivcher."
63,6/22/1999,"Dionisio Romero, Montesinos Torres",1583,,x,,video,,,,,x,,,,,,,,,,,"Montesinos and banker Dionisio Romero discuss shifting political focus from declining candidate Andrade to rising contender Castañeda Lossio. They analyze Castañeda’s recent mistakes and criticize Andrade’s missed opportunity to partner with Fujimori. Romero requests a wheat tariff reduction to lower bread prices. Montesinos also advocates for a U.S.-backed coup in Colombia, exposing regional ambitions."
69,8/18/1999,"Marino Costa, Montesinos Torres, Heather",1663,,x,,audio,,,,,,,,,,,,,,x,,"Montesinos and banker Dionisio Romero discuss shifting political focus from declining candidate Andrade to rising contender Castañeda Lossio. They analyze Castañeda’s recent mistakes and criticize Andrade’s missed opportunity to partner with Fujimori. Romero requests a wheat tariff reduction to lower bread prices. Montesinos also advocates for a U.S.-backed coup in Colombia, exposing regional ambitions."
71,9/1/1999,"Defensor del Pueblo, General EP Villanueva Ruesta, Montesinos Torres",1682,,x,x,video,,,,,,,,x,,,,,,,,"Montesinos discusses Shining Path cases with ombudsman Jorge Santistevan, stressing humane treatment while referencing interactions with Abimael Guzmán. He proposes civilian-led intelligence reforms and defends SIN against media accusations linked to forged documents, such as Plan Octavio. Montesinos claims these fabrications aim to frame SIN for persecuting journalists. The conversation ends with an unclear request for a favor."
64,7/15/1999,"Victor Joy Way, Bustamente, Gross, Montesinos Torres",1692,,x,,video,,,,,,,,,,x,,,,x,,"Montesinos and senior officials discuss fast-tracking a legal report through Cabinet and Congress before July 11. Montesinos warns of 80 upcoming trials, including politically sensitive cases like Lori Berenson, Baruch Ivcher, and alleged phone surveillance, which may trigger public controversy."
72,9/4/1999,"Eduardo Calmell Del Solar, Montesinos Torres",1736,,x,x,video,,,,,,,,x,,,,,,,,"Montesinos invites Eduardo Calmell to a military celebration and discusses media loyalty. He claims Genaro Delgado Parker may withdraw support from Andrade and confirms that 1500 officers will be deployed across Peru. Montesinos gives Calmell $500,000, promising the remainder on Friday."
73,10/5/1999,"Eduardo Calmell Del Solar, Montesinos Torres",1753,,x,x,video,,,,,,,,x,,,,,,,,"Montesinos and Calmell discuss false congressional claims regarding Interpol's role in the Ivcher case and criticize politicized media coverage. Montesinos dismisses Ivcher as irrelevant and asserts U.S. interest lies solely in Fujimori. Calmell receives the remaining $500,000 from their prior deal, with mention of an unclear $3,000 monthly payment."
74,11/6/1999,"General Delgado, Vicente Silva, Eduardo Calmell, Vladimiro Montesinos",1780,,x,,audio,,,,,,,,x,,,,,,,,Vicente Silva hesitates to acquire CCN shares due to needing his wife's consent and the covert nature of the deal. Montesinos gives him $2 million and grants time to resolve it. The group later discusses the financial state of major banks and praises Victor Joy Way for his economic management.
75,11/10/1999,"Domingo Palermo, Montesinos Torres",1782,,x,,video,,,,,,,,x,,,,,,,,"Domingo Palermo and Montesinos discuss media control in the lead-up to the election. Palermo details journalists loyal to the regime and outlines plans for two new news segments. Montesinos suggests subtly attacking opponents, praising Guido Lombardi’s skills in media warfare. Loyalty, not money, underpins their collaboration."
77,11/26/1999,"General Villanueva, Almirante Ibarcena, General Bello",1792,,x,x,video,,,,,x,,,,x,,,,,,,"Montesinos and military leaders plan “Día del Ejército” as a show of unity and anti-narcotics strength. He reveals ""Plan 2005"" with Laura Bozzo as potential vice president. They outline a propaganda strategy involving fear-based messaging, media specials, mass events, and targeted attacks on rival candidates. Montesinos also lists campaign gifts he's received."
78,11/26/1999,"General Villanueva, Almirante Ibarcena, General Bello, Winter",1795,,x,x,video,,,,,x,,,,x,,,,,,,"Montesinos praises El Expreso and plans to mass-publish a report showcasing Peru’s progress under Fujimori. He and Boloña discuss economic strategy and media control for the 2005 election. The group also coordinates military promotions, which will take effect immediately after public announcement on December 10."
79,12/3/1999,"Enrique Chirinos Soto, Montesinos Torres",1798,x,x,,video,,,,,x,,,x,,,,,x,,,"Enrique Chirinos offers to support Fujimori in Congress in exchange for a favorable spot on the electoral list, campaign funds, and media space. Montesinos agrees, promising TV ads, a campaign office, and meetings with Fujimori. They discuss broader political strategy, including targeting Castañeda and ensuring a congressional majority."
80,12/25/1999,"Ketin Vidal, Montesinos Torres",1806,,x,,video,,,,,x,,,,,,,,,,,"Montesinos urges Ketin Vidal to accept a vice-presidential candidacy focused on internal security. Vidal expresses reluctance due to media scrutiny and personal priorities, particularly fearing journalist Hildebrandt. Montesinos insists he is ideal for the role and encourages him to decide by 6 p.m., claiming everything is ready for his appointment."
81,12/25/1999,"Ketin Vidal, Montesinos Torres",1809,,x,,video,,,,,x,,,,,,,,,,,"Vidal formally declines Montesinos’s offer to become vice president, citing family and media concerns. He affirms loyalty to Fujimori and refuses to join the opposition. The conversation remains cordial, with both men agreeing to stay in contact. Notably, Montesinos scheduled the conversation on Christmas Day."
82,1/27/2000,"Alex Kouri Bumachar, Jose Francisco Crousillat, Montesinos Torres",1822,,x,x,video,,,,,x,,,,,,,,,,,"Montesinos meets with Alex Kouri and José Francisco Crousillat to discuss political strategy. They reflect on recent Peru 2000 protests, with Crousillat arguing police restraint prevented greater bloodshed. Kouri affirms his loyalty to Fujimori and proposes a symbolic gesture of unity on International Wetlands Day. He shares ambitions for a future presidential run, which Montesinos says should follow success in the 2002 municipal elections. Both express disappointment with Andrade."
83,2/2/2000,"Alex Kouri Bumachar, Montesinos Torres",1825,,x,x,video,,,,,x,,,,,,,,,,,"Montesinos and Kouri strategize for the upcoming election, noting poll shifts: Castañeda has overtaken Andrade in second place. With only 56 days left, they agree to refocus attacks on Castañeda. Kouri reports advice to move faster but remains cautious. They plan to revisit Andrade in the 2002 mayoral race after securing the presidency."
86,3/15/2000,"Alex Kouri Bumachar, Montesinos Torres",1833,x,x,x,video,,,,,,,x,x,,,,,,,x,"Montesinos apologizes to Kouri for recent delays in communication. Kouri discusses backlash from speaking on Radio Programas about Toledo and Salas, as they had planned. He notes Salas’s weak campaign is boosting Toledo's popularity, especially in Chimbote. Concerned about a second-round vote, they plan to manage congressional outcomes by securing loyal candidates. They also schedule a $45M event in Callao for March 30. Kouri closes with advice on political timing, ironically foreshadowing the scandal that would later implicate both men."
1,3/25/1997,"Javier Alva Orlandini, Victor Garcia",1014-1015,,x,,audio,,,,,,,,,,,x,,,,,"In Florida, Javier Alva Orlandini and Víctor Andrés García Belaunde give depositions regarding Sigmund Markovich’s background and alleged U.S. intelligence ties. Alva Orlandini recalls representing Markovich in a divorce and suggests he was politically persecuted in Peru during the García administration. He speculates that a fire at Markovich’s Miami home was retaliation for his anti-drug work. García Belaunde claims Markovich may have been part of U.S.-backed Operación Cóndor and once assisted his father after a terrorist attack. Both men provided him with letters of support, citing his association with U.S. agencies. The testimonies were later obtained and archived by Montesinos for unclear purposes."
36,8/20/1998,"General EP Hermoza Rios, General EP Villanueva Ruesta, General PNP Dianderas O, General FAP Elesban Vello, Almirante Ibarcena, General EP Salazar Monroe, General EP Saucedo, Montesinos Torres, Alberto Fujimori","1168, 1169",,x,x,video,,,,,,,,,x,,,,,,,"President Fujimori announces General Saucedo will replace Hermoza Ríos as Commander General of the Army, ending a close six-year relationship. After the announcement, Montesinos and Saucedo coordinate outreach to military leaders, informing them of the change and inviting them to a celebratory event. They discuss practical matters like official vehicles and future collaborations. Saucedo struggles to reach key contacts but pushes forward with organizing support. Fujimori emphasizes the need for institutional continuity, and Hermoza offers a gracious farewell. Montesinos ensures the change is smoothly orchestrated and well-received by military leadership."
34,8/11/1998,"Juan Carlos Hurtado Miller, Montesinos Torres.","1183, 1184",,x,x,video,,,,x,,,,x,,,,,,,,"Montesinos funds Juan Carlos Hurtado Miller’s campaign with $215,000, two vehicles, and staff, stressing the importance of media control and public visibility. He encourages Hurtado to blend into large rallies and downplay elitist imagery. Borobio critiques Hurtado’s physical appearance and messaging, recommending dental work and a new campaign slogan involving a tractor symbol. They agree to delay a major speech to avoid clashing with the announcement of the new Prime Minister. The meeting covers detailed media coordination, polling strategy, and a push to dominate public discourse with pro-government narratives. Hurtado and Borobio later meet with Montesinos to review campaign photos and a packed calendar of events."
33,8/2/1998,"Borobio Guede, Hurtado Miller, Montesinos Torres","1188, 1189",,x,x,video,x,,,x,,,,x,,,,,,,,"Hurtado Miller and Borobio critique rival Andrade’s aloof public image while plotting to rebrand Hurtado as a relatable, action-oriented candidate. They focus on the symbolic use of a tractor to represent hard work and resilience. Highlighting Andrade’s failure to address key public concerns, they aim to position Hurtado as an experienced administrator with social sensitivity. The conversation stresses the importance of loyal journalists like Nicolás Lúcar and pre-arranged interview questions. Montesinos briefly joins to listen as the team plans early debates and discusses how to deflect questions on the referendum. They aim to flood media coverage with coordinated attacks and relatable messaging."
35,8/14/1998,"Serpa, Bringas, Victor Joy Way","1195, 1196",,x,x,audio,x,,,,x,,,x,,,,,,,x,"Montesinos and Victor Joy Way plot to block a constitutional referendum that would limit Fujimori’s reelection. They orchestrate bribes of $3,000 monthly to secure votes in Congress and judicial bodies, focusing on controlling electoral rulings. They express concern over one holdout, Ferrero, and discuss how to sway or isolate him. Their broader strategy includes buying media outlets and flooding coverage with pro-government propaganda, especially through print and TV channels. The plan includes legal maneuvers in the JNE, pushing a resolution to override constitutional restrictions. Media control is central, and budget constraints lead them to redirect funds from Hurtado Miller’s campaign to cover propaganda."
44,10/12/1998,"Vera Gutiérrez, Borobio, Julio Vera, Montesinos Torres","1197, 1199",,x,x,video,,x,,,,,,x,,,,,,,,"Montesinos and Borobio meet with ATV executive Julio Vera Gutierrez to secure favorable television coverage in exchange for stacks of cash, reportedly totaling $50,000. Vera Gutierrez agrees to fire critical journalists like Cecilia Valenzuela and replace opposition voices with government-friendly figures. They discuss launching a special program on Ecuador-Peru relations, leveraging insider information from Fujimori’s upcoming congressional address. The men agree to coordinate programming and messaging every ten days to ensure alignment with government interests. This marks another clear example of how Montesinos secured loyalty through direct media purchases and editorial interference."
45,10/14/1998,"Jose Francisco Crousillat, Montesinos Torres","1200, 1201",,x,x,video,,,,,,,x,x,,,,,,,,"Montesinos meets with TV executive José Francisco Crousillat to finalize a major payment of nearly $620,000 in soles for a media campaign favoring Fujimori. The funds will support coverage through July 1999, with a promise to renegotiate for continued support until 2005. Montesinos emphasizes the need to portray Fujimori’s reconstruction programs in a positive light and apologizes for paying in local currency. The two men confirm that Crousillat will receive monthly payments, ensuring consistent messaging and loyalty. The conversation ends with small talk about family vacations and future meetings."
50,12/31/1998,"Carlos Ferrero, Montesinos Torres","1289, 1290",,x,x,audio,,,,,,,,x,,,,,,,,"Montesinos tries to quash rumors about the arrest of General Hermoza Ríos, who has allegedly been abroad for medical treatment. He drafts a memo denying the arrest and plans media coverage to reinforce the official story. Congressman Carlos Ferrero visits, expressing surprise at receiving a holiday gift and voicing concern about being sidelined politically. Montesinos claims it was due to congressional preferences but shares inside information about the Hermoza situation. Ferrero warns of the need to rethink opposition strategy before the 2000 election and urges better management of human rights and electoral decentralization. Montesinos later discusses press payments and plans to release new messaging during January’s commemorative events."
