El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 Estamos muy bien, hombre (?) de todas maneras.	MONROE
El señor MONTESINOS TORRES.—	 Muchas gracias.	MONTESINOS
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 Claro.	MONROE
Militar Desconocido	 Sería bueno que repitan a ver, cómo va a ser la ceremonia.	MILITAR DESCONOCIDO
Militar Desconocido	 (?)	MILITAR DESCONOCIDO
El señor MONTESINOS TORRES.—	 Ya.	MONTESINOS
Militar Desconocido	 (?)	MILITAR DESCONOCIDO
El señor MONTESINOS TORRES.—	 Perfecto.	MONTESINOS
El COMANDANTE GENERAL DE LA FAP, señor Elesván Bello Vásquez.—	 (?) izquierdo.	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Ah, ya, ya,	MONTESINOS
El señor PRESENTADOR.—	 Señor Comandante General de la Fuerza Aérea del Perú, señores oficiales generales, señores: Hoy viernes 24 de julio se procederá a la imposición de la Condecoración Cruz Peruana al Mérito Aeronáutico en la clase de Gran Cruz al señor Doctor Vladimiro Montesinos Torres. La Condecoración FAP Cruz Peruana al Mérito Aeronáutico es la más alta recompensa que la Nación otorga por servicios excepcionales y meritorios en beneficio de la Fuerza Aérea del Perú. El Secretario General de la Fuerza Aérea, Mayor General FAP don Carlos Portillo Vásquez, dará lectura a la Resolución Suprema que la confiere.	SANTANDER
El señor SECRETARIO GENERAL DE LA FUERZA AÉREA, Mayor General FAP, señor Carlos Portillo Vásquez.—	 Resolución Suprema N.° 391 - Defensa - Fuerza Aérea del Perú. Lima, 1 de julio de 1998. Vista la propuesta formulada (2) por el señor Ministro de Defensa para el otorgamiento de la condecoración Cruz Peruana al mérito aeronáutico en la clase de Gran Cruz, por la causal servicios excepcionales y meritorios en beneficio de la Fuerza Aérea del Perú, al doctor Vladimiro Montesinos Torres, Asesor del Servicio de Inteligencia Nacional, por los importantes servicios prestados a la Fuerza Aérea del Perú, contribuyendo a su desarrollo, engrandecimiento y superación institucional, que el Consejo de la Condecoración Cruz Peruana al Mérito Aeronáutico con Acta N.° 008 aprobó dicha propuesta y estando a lo acordado por el Consejo de la Condecoración, SE RESUELVE:	MONTES DE OCA
Artículo Único.—	 Otorgar la condecoración Cruz Peruana al mérito aeronáutico en la clase de Gran Cruz por la causal servicios excepcionales y meritorios en beneficio de la Fuerza Aérea del Perú al doctor Vladimiro Montesinos Torres, Asesor del Servicio de Inteligencia Nacional, a mérito de lo expuesto en la parte considerativa de la presente resolución. Regístrese y comuníquese. Rubrica del señor Presidente de la República Firmado: César Saucedo Sánchez . General del Ejército, Ministro de Defensa.	ARCE
El señor PRESENTADOR.—	 El General del Aire, don Elesván Bello Vásquez, como Comandante General de la FAP y delegado del Canciller de la Orden, dará lectura a la fórmula de estilo e impondrá la condecoración al señor doctor Vladimiro Montesinos Torres.	SANTANDER
El COMANDANTE GENERAL DE LA FAP, señor Elesván Bello Vásquez.—	 Señor doctor Vladimiro Montesinos Torres, como Comandante General de la Fuerza Aérea del Perú y delegado del Canciller de la Condecoración Cruz Peruana al mérito Aeronáutico, tengo la complacencia de imponer a usted la insignia de Gran Cruz, formulando votos para que la llevéis siempre con honor.	MONTES DE OCA
Background	—El Comandante General de la FAP Elesván Bello Vásquez, le impone la medalla de Cruz Peruana al Mérito Aeronáutico en la clase de Gran Cruz al señor Vladimiro Montesinos Torres.	BACKGROUND
El señor MONTESINOS TORRES.—	 Muchas gracias. (Aplausos.)	MONTESINOS
El señor PRESENTADOR.—	 A continuación, palabras del señor Comandante General de la FAP, General del Aire, don Elesván Bello Vásquez.	SANTANDER
El COMANDANTE GENERAL DE LA FAP, señor Elesván Bello Vásquez.—	 Señor doctor, Vladimiro Montesinos Torres; señor Jefe del Servicio de Inteligencia Nacional; señor Jefe del Estado Mayor; señor Inspector General; señores Oficiales Generales: Constituye para mí un gratísimo honor y un privilegio, en mi calidad de Comandante General de la Fuerza Aérea del Perú, haber impuesto la Condecoración Cruz Peruana al Mérito Aeronáutico en la clase de Gran Cruz al doctor Vladimiro Montesinos Torres, por la causal de servicios excepcionales y meritorios en beneficio de nuestra institución. Es un testimonio de gratitud institucional y también personal por el apoyo que nos ha brindado constantemente en la indesmayable tarea de luchar contra los enemigos de nuestra patria, tanto en el frente externo como en el frente interno. De usted, doctor Montesinos, se puede decir que el destino supo colocarlo para el bien del Perú en el lugar preciso y en el momento preciso, cuando la sedición sectaria y fundamentalista del llamado Sendero Luminoso y también la igualmente sanguinaria facción del denominado Movimiento Revolucionario Túpac Amaru pretendían socavar las bases mismas de nuestra nacionalidad, (3) sumirnos en la barbarie, trastocar la escala de valores en el que se han forjado innumerables generaciones de peruanos bajo la sombra tutelar de nuestros héroes y mártires que ofrendaron generosamente sus vidas en defensa de la nación. Los hechos son recientes, y por ello todos tenemos imágenes muy vivas y trágicas, directas y palpitantes de lo acontecido. Éramos conscientes y algunas veces impotentes frente al terrorismo homicida que iba ganando posiciones mientras el Estado parecía abdicar de sus prerrogativas y obligaciones mostrándose carente de orientación y de reflejo para tomar las acciones coordinadas pertinentes para detener el caos al que parecíamos encaminarnos inexorablemente. La histórica decisión del 5 de abril de 1992, en que el Jefe del Estado puso de manifiesto su visión de estadista y su patriotismo que no se amilanó ante gritas estériles y demagógicas, respaldada por las fuerzas Armadas, por la Policía Nacional y por el Servicio de Inteligencia Nacional, hizo posible que nuestro país comenzara a tomar el rumbo adecuado en la lucha contra el terrorismo gracias a una serie de medidas, en las cuales el doctor Vladimiro Montesinos tuvo decisiva participación, medidas que tenían que darse de consuno, pues era preciso forjar una suerte de gran anillo de hierro para impedir que con argucias legales o al amparo de la debilidad de algunas personas u organismos los delincuentes persistan y pudieran encontrar como hasta ese momento una coartada para burlar el peso de la ley. Importante también, en esta ímproba tarea de pacificación, que hoy por suerte vive sus últimos tramos, fue la unificación de los Servicios de Inteligencia, permitiendo así que personal altamente calificado, con conocimientos castrenses, legales, políticos y sicosociales pudiera plantear la lucha al terrorismo en todos los frentes hasta jaquearlo y derrotarlo. Muchas personas hasta ese momento, con verdadero simplismo, pensaban que para vencer a la subversión sólo era necesario tener mano dura. Quienes afirmaban tal cosa olvidaban que hace muchos siglos Horacio, el poeta latino, había dicho que la fuerza sin la inteligencia se derrumba bajo su propia masa. El doctor Vladimiro Montesinos, hombre de gabinete y de acción, ha sido un elemento de vital importancia, no sólo en la lucha contra el terrorismo, sino también contra el narcotráfico, inspirando o proponiendo las normas legales adecuadas para combatir esa lacra, trazando también planes operativos para desarticular las organizaciones delictivas. La opinión pública nacional y mundial conocen ya el papel sustantivo que el SIN ha desempeñado en la operación Chavín de Huántar, logrando el exitoso rescate de los rehenes en la residencia del Embajador de Japón, víctimas inocentes de la vesania fanática de un grupo de desadaptados. Contra todo lo pensado, el operativo sólo tuvo un pequeño aunque valiosísimo costo de vidas que hoy la patria recuerda agradecida, porque murieron con heroísmo dejándonos también un ejemplo de profunda abnegación. En el plano institucional y en el personal mucho y grande es el apoyo que usted, doctor Montesinos, ha brindado a la Fuerza Aérea del Perú y a quien tiene la honra de dirigirle estas palabras. Los que conocemos su trabajo paciente, tenaz, siempre lúcido y creativo al servicio del Perú no podemos soslayar el disgusto que nos causa cuando leemos o escuchamos juicios o comentarios mendaces contra su persona. Nos queda el consuelo de saber que a lo largo de la historia muchos personajes no fueron comprendidos por sus contemporáneos y sólo con el peso de los años, aquietados mezquinos intereses o torvas, pasiones, recién se le juzgó objetivamente, comprendiendo en su auténtico valor la grandeza de sus logros. (4) Hay dos palabras que pueden definir muy brevemente lo que usted, doctor Vladimiro Montesinos, ha brindado en estos últimos años a nuestra patria: inteligencia y acción. Al respecto, un gran pensador ha escrito La inteligencia y la acción : “Sin ella la acción es vana, pero sin la acción que débil es la inteligencia. El doctor Montesinos nos ha dado mucho, muchísimo de ambas cosas, comprometiendo eternamente nuestra gratitud y la de nuestros conciudadanos. Muchas gracias. (Aplausos.)	MONTES DE OCA
El señor PRESENTADOR.—	 Acto seguido, el señor doctor Vladimiro Montesinos  Torres, hará uso de la palabra.	SANTANDER
El señor MONTESINOS TORRES.—	 Señor General del Aire, Elesván Bello Vásquez, Comandante General de nuestra honrosa Fuerza Aérea; señor General de División, Julio Salazar Monroe, Jefe del Servicio de Inteligencia Nacional; señor Teniente General, Jefe de Estado Mayor de nuestra gloriosa Fuerza Aérea del Perú; señor teniente general, Inspector General de nuestra gloriosa Fuerza Aérea del Perú; señores oficiales generales, señores. Es para mí motivo de singular complacencia aceptar modestamente la honrosa distinción con que me ha querido distinguirme la Fuerza Aérea del Perú al concederme la condecoración Cruz Peruana al Mérito Aeronáutico en la clase de Gran Cruz. Es un gesto que reconozco agradecido a vuestra institución señor comandante general, en la medida que él enaltece sobre manera a quien les habla, de ahí mi más sincero reconocimiento a las generosas palabras que usted me ha brindado, señor General Elesván Bello. Nuestra gloriosa Fuerza Aérea del Perú se inserta en la historia peruana marcando con trazos indelebles una tradición de entrega, de valor y de heroísmo, que se inicia con el gesto singular y ejemplarizador de Luis Abelardo Quiñonez González, hombre superior y héroe epónimo de las alas peruanas aquí presentes. En la jornada de Quebrada Seca, marcó el camino a seguir por quienes visten hoy el glorioso uniforme de la Fuerza Aérea, y por qué no decirlo de todos los peruanos cuando la patria está en peligro, como lo fue en el Cenepa, en la época del terrorismo. Este gesto enaltecedor en la actualidad se ha plasmado en los resonantes éxitos obtenido por nuestra Fuerza Aérea en la lucha contra el terrorismo, lamentalmente en el decisivo accionar que ha tenido para lograr el éxito contra el flagelo del narcotráfico de intervención aérea, que ha sido reconocido no solamente en el país sino en el mundo, y tenemos como ejemplo en la Cumbre de las Américas, el propio Presidente Clinton ha exsaltado este logro reconociendo que la Fuerza Aérea Peruana está a las alturas de una de las mejores del mundo en esta lucha. En el campo externo, esta tradición de gloria y heroísmo y marcada por la presencia de Luis Abelardo Quiñonez González quien nos acompaña y nos da ejemplo y nos inspira a todos los que estamos presentes, ha enriquecido de modo significativo con su participación valerosa y decidida en la defensa de la patria, cuando su presencia fue requerida fundamentalmente el año 1995. Por ello, podemos decir sin el menor asomo de exageración,  que hoy día nuestra Fuerza Aérea cumple un rol fundamental y decisivo en la defensa de la soberanía e integridad de nuestro territorio, convirtiendo en resurgente realidad su definición con el arma de la decisión en la guerra moderna. En este sentido, quiero señalar con la mayor sinceridad que el modesto aporte que haya podido dar para que nuestra Fuerza Aérea recupere la capacidad operativa, es decir, se encuentre lista para entrar en acción cuando le sea requerida bajo el concepto de fuerza armada expedita integrada con los otros institutos de la fuerza armada, es tan solo la contribución modesta de un ciudadano que ama intensamente a su patria y que está fuertemente vinculado de manera afectiva ante las instituciones tutelares, y hoy día fundamentalmente a nuestra Fuerza Aérea del Perú. (5) A partir de hoy, señor Comandante General, señores oficiales generales y General y Jefe del Servicio de Inteligencia Nacional, quiero decirles muy modestamente que esta condecoración que gentilmente me ha sido insernida por el señor Comandante General a nombre de la institución, ocupará un lugar muy especial en mi corazón, y estén seguros que  habrá de servir como acicate  y estímulo  para seguir trabajando con mayor empeño por el engrandecimiento de nuestro querido Perú, por el fortalecimiento de nuestra Fuerza Aérea, por la unidad indestructible de nuestras Fuerzas Armadas, hermanadas en el propósito común, en la hora actual, de lograr las metas de desarrollo de bienestar y de beneficio social, que es el anhelo común de todos los peruanos (?). Muchas gracias. (Aplausos.)	MONTESINOS
Background	—El señor Montesinos Torres se acerca a saludar al Comandante General de la FAP, señor Bello Vásquez.	BACKGROUND
El señor PRESENTADOR.—	 Se invita a la distinguida  concurrencia al saludo y brindis de honor.	SANTANDER
Background	—Los señores oficiales se acercan a saludar al señor Vladimiro Montesinos Torres.	BACKGROUND
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 Vladi, Felicitaciones.	MONROE
El señor MONTESINOS TORRES.—	 Muchas gracias.	MONTESINOS
Background	—Luego del saludo del señor General de División EP Salazar Monroe  se acercan a saludar al señor Montesinos Torres los demás oficiales presentes en la reunión, siendo el último en felicitarlo el señor Comandante General de la FAP Bello Vásquez.	BACKGROUND
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 Excelente, Vladi, ah, muy bien merecido.	MONROE
El señor MONTESINOS TORRES.—	 Muchas gracias.	MONTESINOS
Militar Desconocido	 La Cruz de Hierro.	MILITAR DESCONOCIDO
Militar Desconocido	 La Cruz de Hierro.	MILITAR DESCONOCIDO
El señor MONTESINOS TORRES.—	 Sí, la Cruz de Hierro, parece, ¿no?	MONTESINOS
El señor COMANDANTE GENERAL DE LA FUERZA AÉREA DEL PERÚ, señor Elesván Bello Vásquez.—	 Ahorita van a traer el champagne para...	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Sí, sí.	MONTESINOS
Militar Desconocido	 Viuda de *Kikot, viuda de *Kikot.	MILITAR DESCONOCIDO
Militar Desconocido	 (?) ceremonia.	MILITAR DESCONOCIDO
El señor MONTESINOS TORRES.—	 Muy bonita la ceremonia, bien impresionante.	MONTESINOS
Militar Desconocido	 Bien trome, ¿no?	MILITAR DESCONOCIDO
El señor MONTESINOS TORRES.—	 Claro.	MONTESINOS
Militar Desconocido	 Muy bien.	MILITAR DESCONOCIDO
El señor MONTESINOS TORRES.—	 Nunca la gente había dado una demostración de esa naturaleza.	MONTESINOS
Militar Desconocido	 Anoche en la televisión todo lo que (?)	MILITAR DESCONOCIDO
El señor COMANDANTE GENERAL DE LA FUERZA AÉREA DEL PERÚ, señor Elesván Bello Vásquez.—	 Bien bonito.	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Sí, ha sido bien impactante.	MONTESINOS
El señor COMANDANTE GENERAL DE LA FUERZA AÉREA DEL PERÚ, señor Elesván Bello Vásquez.—	 Sí, sí.	MONTES DE OCA
Militar Desconocido	 Ha venido bastante gente.	MILITAR DESCONOCIDO
Militar Desconocido	 Eso te iba a decir, bastante gente.	MILITAR DESCONOCIDO
Militar Desconocido	 Buena asistencia verdaderamente.	MILITAR DESCONOCIDO
El señor MONTESINOS TORRES.—	 Y los comentarios que hay, aunque los periodistas son el mejor termómetro (?), varios han comentado en ese aspecto. Hemos salido de lo convencional, por decir vamos a lo (?) y llevada a cabo con una (?) que la Fuerza Aérea estaba así. O sea, es un comentario de la impresión, no es... Yo me sorprendí al verlo acá y en la noche me llamó por teléfono el embajador, ¿no podemos conversar? Sí, le dije. Estaba tan impresionado por el vuelo del avión que ya no pude llamarte. (Risas)	MONTESINOS
El señor MONTESINOS TORRES.—	 ¿Ah?, ¿ah? Sí, no pudo. Me decía, yo tengo como veinte años acá en América Latina y nunca he visto una demostración de esa naturaleza, dice. Ni siquiera en las ferias de...	MONTESINOS
El COMANDANTE GENERAL DE LA FAP, señor Bello Vásquez.—	 Sí, bonito estuvo. Sabe que, y el efecto que se ha hecho con un techo más o menos (?) pies.	MONTES DE OCA
Militar Desconocido	 No era el más adecuado.	MILITAR DESCONOCIDO
Militar Desconocido	 Un techo bien limitado.	MILITAR DESCONOCIDO
El COMANDANTE GENERAL DE LA FAP, señor Bello Vásquez.—	 Claro, bien limitado porque...	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Las condiciones meteorológicas pues no lo permitieron.	MONTESINOS
El COMANDANTE GENERAL DE LA FAP, señor Bello Vásquez.—	 Inclusive pensábamos a hacer una demostración (?).	MONTES DE OCA
Militar Desconocido	 Aparte de ser muy maniobrable para las maniobras de desarrollo, de vuelos, tienen un instrumental muy moderno.	MILITAR DESCONOCIDO
Militar Desconocido	 Una de las grandes ventajas que tiene también (?)  su capacidad acrobática, porque la acrobacia permite, pues, al cadete que agarre mucha confianza en sí mismo.	MILITAR DESCONOCIDO
El señor MONTESINOS TORRES.—	 Así es. Claro, es como el deportista, pues, que hace. El que es gimnasta tiene más, fortalece más, tiene más confianza en sí mismo.	MONTESINOS
Militar Desconocido	 Una gimnasia aérea.	MILITAR DESCONOCIDO
El señor MONTESINOS TORRES.—	 Es una gimnasia aérea. Es una atracción sicológica, el hombre-máquina, pues ¿no? (Diálogo ininteligible) (Risas)	MONTESINOS
Militar Desconocido	 El único que se va a trabajar.	MILITAR DESCONOCIDO
Militar Desconocido	 Dice que se va a trabajar.	MILITAR DESCONOCIDO
Militar Desconocido	 (?) va a ser mormón, dice.	MILITAR DESCONOCIDO
Militar Desconocido	 Es el único que va a trabajar.	MILITAR DESCONOCIDO
Militar Desconocido	 Está trabajando, dice.	MILITAR DESCONOCIDO
Militar Desconocido	 (?)	MILITAR DESCONOCIDO
El señor MONTESINOS TORRES.—	 (?) más de una copa. (Risas.)	MONTESINOS
El COMANDANTE GENERAL DE LA FAP, señor Bello Vásquez.—	 Ante todo (?)	MONTES DE OCA
Militar Desconocido	 Ya toma tranquilo. Aquí está, está.	MILITAR DESCONOCIDO
Militar Desconocido	 Lucho, por favor, (6) que se retiren allá los mayordomos ¿ya? Bueno, quería aprovechar, mi general, en decir unas cuantas palabras. Creo que en el caso de la Condecoración Peruana, que se ha impuesto aquí al Doctor Montesinos, es una de las pocas oportunidades en que creo que ha sido realmente lo más justo posible porque no solamente por el hecho de que el Doctor Montesinos —y creo que se lo merece— ha hecho mucho por el país. Pero como es una condecoración de la Fuerza Aérea, creo que en este momento, en mi calidad de Comandante General, es importante señalar todo el apoyo que el Doctor Montesinos está dando a la Fuerza Aérea. Yo creo que es importante, ahora que estamos reunidos el Alto Mando de la Fuerza Aérea (?) y ahora ustedes lo saben y es conveniente recalcarlo el papel importante que ha tenido el doctor montesinos en la plena regulación de la capacidad de (?) de la Fuerza Aérea. He sido testigo de excepción de la forma como el Doctor ha podido convencer al Presidente de la República para que nosotros podamos ir recuperando paulatinamente nuestra fuerza, nuestra capacidad y está en este momento en las condiciones para afrontar cualquier compromiso en el frente externo. Esto creo que es muy importante, y se lo debemos realmente al Doctor. Particularmente, el que le habla yo tengo un compromiso moral con el Doctor porque vengo trabajando hace 10 años durante el tiempo que hemos estado trabajando en Inteligencia. Yo he sido testigo también de la forma cómo comenzamos en la lucha contra el terrorismo, la forma cómo se organizó los Sistemas de Inteligencia, la manera cómo poco a poco íbamos venciendo la insania terrorista, cómo tuvimos que organizarnos para ir capturando a cada uno de los elementos de la cúpula de Sendero Luminoso, posteriormente del MRTA. Y todo bajo la Dirección del Servicio de Inteligencia, el General Salazar y el Doctor creo que han cumplido un papel importantísimo en esta derrota de la subversión. Entonces, creo que es significativo, importante y justo hacer un reconocimiento a esa labor, Doctor Montesinos. Y estoy consciente, y creo que estoy seguro que todos los oficiales que están en este momento conmigo comparten plenamente lo que estoy manifestando porque yo he ido manifestándoles acá a cada uno de ellos cuál ha sido su labor dentro de estas las tareas tanto de la pacificación como de la recuperación de la capacidad operativa de la Fuerza Aérea. Es, por ese motivo que quiero que ustedes me acompañen con un brindis porque sigan los éxitos personales, profesionales del Doctor Montesinos para el bien de la Fuerza Aérea y para el bien del Perú.	MILITAR DESCONOCIDO
Background	—Todos los presentes brindan.	BACKGROUND
El señor MONTESINOS TORRES.—	 En realidad, ¿cómo se llama esto? Este... Antes de que pasen los...	MONTESINOS
Militar Desconocido	 Sí, que esperen ahí nomás.	MILITAR DESCONOCIDO
El señor MONTESINOS TORRES.—	 Cuando el año 90 asumimos el reto de tratar, de poner un aporte a la solución de los grandes problemas que vivía el Perú signado fundamentalmente por tres ejes centrales: uno, que era el problema económico; o sea, nosotros habíamos convertido en un país inelegible por acción del Gobierno de Alan García, entonces, una economía colapsada, agregado a un problema de un terrorismo que tenía casi las dos terceras partes del territorio nacional en estado de emergencia y aunado a eso —valga la redundancia— el tema del narcotráfico, que era un factor de incremento del terrorismo —como siempre lo hemos llamado, eran las dos caras de la misma moneda— hacían inviable la dirigencia del Estado.	MONTESINOS
Background	—Fin del Vídeo N.° 978. —Transcripción: miércoles 13 de junio de 2001.	BACKGROUND
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 977 (Este vídeo continúa en el  Vídeo N.° 976) “CONDECORACIÓN AL DR. VLADIMIRO MONTESINOS TORRES POR LA FUERZA AÉREA DEL PERÚ” DEL 24 DE JULIO DE 1998	BACKGROUND
