El señor MONTESINOS TORRES.—	 Lo que sí te digo, he mandado a una persona para que hable “pero, ¿quién les ha dado?” “¡Ah!, es algo secreto”, me dice. Entonces, se ve nomás, ahí está la mano nomás, saquen por la mano. El anillo. ¡Ah! no, pues, es un anillo de promoción de militares, dice. Ya por ahí sacan. Caretas fue, el Caretas .
El señor CROUSILLAT CARREÑO.—	 ¿Sacó la mano?
El señor MONTESINOS TORRES.—	 Sacó la mano con el anillo, pues.
El señor CROUSILLAT LÓPEZ TORRES.—	 Lo sacan a él en Caretas con un (ininteligible)...
El señor MONTESINOS TORRES.—	 ¡Ah!, sí lo he visto pateando. (Risas)
El señor CROUSILLAT CARREÑO.—	 Puta madre, gordo cabrón es ése.
El señor MONTESINOS TORRES.—	 Ése es miserable.
El señor CROUSILLAT LÓPEZ TORRES.—	 Ése es Vivas.
El señor CROUSILLAT CARREÑO.—	 Ése es un maricón.
El señor MONTESINOS TORRES.—	 Vamos metiendo...
Background	—El señor Montesinos Torres empieza a poner los fajos de billetes en un maletín.
El señor CROUSILLAT LÓPEZ TORRES.—	 ¿Está metido en la Universidad de Lima algo o no?
El señor MONTESINOS TORRES.—	 Estaba. Está, está. Es profesor.
El señor CROUSILLAT LÓPEZ TORRES.—	 Porque ahí me mandaron de Televisa para la cosa ésa de los estudiantes, que mandemos, podemos mandar 30 estudiantes de acá, de la universidad para la junta ésta.
El señor CROUSILLAT CARREÑO.—	 Yo quería decir, yo quería contarte algo.
El señor MONTESINOS TORRES.—	 Sí.
El señor CROUSILLAT CARREÑO.—	 Nos han dado una información de que en el Ministerio de Transportes y Comunicaciones Telefónica tiene 16 personas pagadas con doble sueldo, o sea, con un sueldo extra.
El señor MONTESINOS TORRES.—	 ¿Un plus?
El señor CROUSILLAT CARREÑO.—	 Sí.
El señor MONTESINOS TORRES.—	 Ya.
El señor CROUSILLAT CARREÑO.—	 Estaba en su manejo.
El señor CROUSILLAT LÓPEZ TORRES.—	 Digamos, tienen planilla ahí.
El señor CROUSILLAT CARREÑO.—	 Me imagino que será una cosa totalmente normal, porque ellos se tienen que mover y tienen sus necesidades y qué sé yo.
El señor MONTESINOS TORRES.—	 ¡Aja!
El señor CROUSILLAT CARREÑO.—	 Pero, más allá de ese tema, nos han dicho que hay un tema que es el que nosotros hablamos contigo
El señor MONTESINOS TORRES.—	 Así es.
El señor CROUSILLAT CARREÑO.—	 Que tú hablaste con Pandolfi.
El señor MONTESINOS TORRES.—	 Así es.
El señor CROUSILLAT CARREÑO.—	 Que está parado por ellos.
El señor MONTESINOS TORRES.—	 ¡Ah! ¿Por ellos mismos?
El señor CROUSILLAT CARREÑO.—	 Así nos han dicho. Que está en el escritorio de Pandolfi, pero hay alguien que se encarga de ponerlo en último lugar.
El señor MONTESINOS TORRES.—	 Ya.
Background	—El señor Montesinos Torres termina de colocar los fajos en el maletín y lo cierra.
El señor CROUSILLAT CARREÑO.—	 Es el tema de (ininteligible). Para hacer funcionar nuestra señal internacional y los negocios paralelos que podamos armar con eso.
El señor CROUSILLAT LÓPEZ TORRES.—	 Ya está listo todo para que la firme nomás.
El señor MONTESINOS TORRES.—	 No, pero el lunes voy a hacer lo siguiente: voy a hacer que me manden el documento acá, que me lo manden firmado por Joy Way, y ya vamos el lunes a tener el documento.
El señor CROUSILLAT LÓPEZ TORRES.—	 Está listo ¿ah? Está encima del escritorio, está ahí.
El señor MONTESINOS TORRES.—	 Tú sabes que Pandolfi es...
El señor CROUSILLAT LÓPEZ TORRES.—	 Lentón.
El señor MONTESINOS TORRES.—	 Lentón. Yo le he puesto “Perro cansado”.
El señor CROUSILLAT LÓPEZ TORRES.—	 Perro de agua. Viste esos perros que tienen una pipa acá.
El señor CROUSILLAT CARREÑO.—	 Es lento, pero es de confianza.
El señor MONTESINOS TORRES.—	 Sí . ¡ Ah!, no, es de confianza.
El señor CROUSILLAT CARREÑO.—	 Totalmente, sí
El señor MONTESINOS TORRES.—	 Pero ¿qué pasa, hermano? Resulta que a veces se le pasea el alma. Es buena gente, todo lo que quieras, pero por ahí se...
El señor CROUSILLAT CARREÑO.—	 Claro, él tiene ese defecto; pero es un tipo, por otro lado, que tiene muchas virtudes.
El señor MONTESINOS TORRES.—	 No, es leal.
El señor CROUSILLAT CARREÑO.—	 Yo desde el primer día que lo he visto... Se compra el pleito y es de bajo perfil. Ya demasiado bajo.
El señor CROUSILLAT LÓPEZ TORRES.—	 Me ha dicho Pepe que tú nos puedes apoyar con el Wiese.
El señor MONTESINOS TORRES.—	 Sí, sí. El lunes o el martes.
El señor CROUSILLAT LÓPEZ TORRES.—	 Porque yo mañana tengo una cita con el de COFIDE.
El señor MONTESINOS TORRES.—	 Ya.
El señor CROUSILLAT LÓPEZ TORRES.—	 Nosotros en el Wiese tenemos una deuda de corto plazo, que la queremos poner en...
El señor CROUSILLAT CARREÑO.—	 A mediano.
El señor CROUSILLAT LÓPEZ TORRES.—	 Siete años, como dice el Presidente, a largo plazo. A mediano plazo.
El señor MONTESINOS TORRES.—	 Ya.
El señor CROUSILLAT LÓPEZ TORRES.—	 Entonces, eso nos va a ayudar financieramente a mover el canal que está jodido en este momento.
El señor MONTESINOS TORRES.—	 Lógico.
El señor CROUSILLAT CARREÑO.—	 El canal está con un rating impresionante, pero es lo único impresionante que tiene. (Risas.)
El señor CROUSILLAT LÓPEZ TORRES.—	 No, está jodido, debemos dos meses a la gente.
El señor CROUSILLAT CARREÑO.—	 Se han hecho muchas reducciones, pero igual...
El señor CROUSILLAT LÓPEZ TORRES.—	 No hay ventas.
El señor MONTESINOS TORRES.—	 Claro, no hay ventas. Entonces, hay, pues, una contracción de la...
El señor CROUSILLAT LÓPEZ TORRES.—	 Yo creo que siempre hay problemas en todos los medios, pero el medio líder, la responsabilidad del medio líder...y tú sabes eso.
El señor MONTESINOS TORRES.—	 Saber mantenerte.
El señor CROUSILLAT CARREÑO.—	 No sólo mantener, sino que además si el medio líder decae, por decir, si se ve un desmoronamiento, eso es muy jodido.
El señor CROUSILLAT LÓPEZ TORRES.—	 Además de que todo el mundo te está bombardeando con que estás quebrado, estás jodido. (2)
El señor CROUSILLAT CARREÑO.—	 No, de eso se encarga la competencia, Schultz....
El señor CROUSILLAT LÓPEZ TORRES.—	 (Ininteligible).
El señor CROUSILLAT CARREÑO.—	 ... un amigo de Schultz y luego (Ininteligible)
El señor CROUSILLAT LÓPEZ TORRES.—	 Pero con esa figura del Wiese, el Wiese tiene prendadas todos las propiedades del Canal 4 desde la época de Televisa.
El señor MONTESINOS TORRES.—	 Ya, ya.
El señor CROUSILLAT LÓPEZ TORRES.—	 Entonces, ahí hay una deuda de corto plazo de 7 millones de dólares y hay una deuda de 5 millones de mediano plazo, eso no se toca porque eso no está vencido ni nada; pero estos 7 millones es lo que hay que reestructurar.
El señor CROUSILLAT CARREÑO.—	 Pasar a mediano plazo.
El señor CROUSILLAT LÓPEZ TORRES.—	 Pasarlo a mediano plazo dentro del...
El señor CROUSILLAT CARREÑO.—	 Yo creo que es una propuesta integral financiera que se le llama, pero con la recomendación del caso va creando la aceptación.
El señor MONTESINOS TORRES.—	 Claro.
El señor CROUSILLAT CARREÑO.—	 Definitivamente yo...
El señor CROUSILLAT LÓPEZ TORRES.—	 Claro, porque ésta es una empresa...
El señor CROUSILLAT CARREÑO.—	 (Ininteligible).
El señor CROUSILLAT LÓPEZ TORRES.—	 Hoy es una empresa que tiene posibilidades de salir bien ¿no es cierto? O sea, de cumplir nuestros estimados.
El señor MONTESINOS TORRES.—	 (Ininteligible).
El señor CROUSILLAT LÓPEZ TORRES.—	 No.
El señor MONTESINOS TORRES.—	 En absoluto; al contrario, está...
El señor CROUSILLAT LÓPEZ TORRES.—	 No estamos hablando de una empresa que está quebrada, que no tiene posibilidades. Es un canal de televisión, el número uno.
El señor CROUSILLAT CARREÑO.—	 Con más rating.
El señor MONTESINOS TORRES.—	 No, no hay problema, yo hablo con ellos (Ininteligible). De repente para mañana (Ininteligible).
El señor CROUSILLAT LÓPEZ TORRES.—	 Yo te lo preparo el lunes.
El señor CROUSILLAT CARREÑO.—	 Una ayuda memoria.
El señor MONTESINOS TORRES.—	 Una ayuda memoria diciendo tal, tal, tal, tal cosa. No me pongas ni cantidades, sino nomás detalles de refinanciar tal ¿no?
El señor CROUSILLAT CARREÑO.—	 Si quieres ponemos cantidades para que sea...
El señor MONTESINOS TORRES.—	 Bueno, para yo hablar con (Ininteligible) y...
El señor CROUSILLAT LÓPEZ TORRES.—	 Ellos conocen muy bien el caso nuestro.
El señor MONTESINOS TORRES.—	 Le hago la cita.
El señor CROUSILLAT CARREÑO.—	 (Ininteligible).
El señor CROUSILLAT LÓPEZ TORRES.—	 Además eso le va a beneficiar al Banco Wiese, porque si entramos en esa reestructuración de COFIDE el Banco Wiese está tranquilo. Y tenemos este...
El señor CROUSILLAT CARREÑO.—	 Ahora, quieres que yo llame a (Ininteligible) para lo del papel que está en su escritorio.
El señor CROUSILLAT LÓPEZ TORRES.—	 Pero, obviamente...
El señor MONTESINOS TORRES.—	 (Ininteligible) para qué, de repente ni te contesta la mujercita, como está permanentemente viajando.
El señor CROUSILLAT LÓPEZ TORRES.—	 Tú pídeselo nomás.
El señor MONTESINOS TORRES.—	 (Ininteligible) no hay papel firmado, no hay.
El señor CROUSILLAT CARREÑO.—	 Lo que tenemos que hablar es el tema  (Ininteligible) de la Telefónica (Ininteligible).
El señor MONTESINOS TORRES.—	 Claro, hasta ahora hemos (Ininteligible) nada más en el proceso, la nulidad de lo del 15 ya salió; o sea, hubo una nulidad que les ganamos en todos los pisos, la primera, la segunda...
El señor CROUSILLAT LÓPEZ TORRES.—	 Falta un detalle nomás, que es el de la Alianza.
El señor MONTESINOS TORRES.—	 Ya, pero lo de la Alianza espera. La segunda nulidad que ellos nos pusieron en contra la ganaron, pero ahora se les ha volteado porque después hoy día han declarado nula la resolución dictatorial de ellos.
El señor CROUSILLAT LÓPEZ TORRES.—	 Está bien.
El señor MONTESINOS TORRES.—	 Ahora estamos ganando.
El señor CROUSILLAT LÓPEZ TORRES.—	 ¿Pero falta sabes qué?
El señor MONTESINOS TORRES.—	 Lo de la Alianza.
El señor CROUSILLAT LÓPEZ TORRES.—	 Lo de la Alianza.
El señor MONTESINOS TORRES.—	 El tema de Alianza, como ya le he señalado a Francisco, el juez (Ininteligible) por nueve días, pero yo ya tengo (Ininteligible) nueve días.
El señor CROUSILLAT LÓPEZ TORRES.—	 Ya.
El señor MONTESINOS TORRES.—	 Como yo le decía: usted me está... Hay que hablar con la gente de Telefónica para que...
El señor CROUSILLAT LÓPEZ TORRES.—	 Ya hablamos anoche.
El señor MONTESINOS TORRES.—	 ... los desenganchen a los del 5. ¿Porque qué pasa? Tú sabes de que yo converso con la gente del Poder Judicial, a alguien ayudo con una serie de juicios y cosas. Entonces, ellos no pueden ignorar que yo estoy apoyando en este tema. Entonces, es mejor terminar en una solución donde no entremos en conflicto...
El señor CROUSILLAT LÓPEZ TORRES.—	" La idea, mira, la idea justa, porque, mira, él le habló muy claro al Presidente de Telefónica anoche en una cena que tuvieron. Él le dijo: ""mire, yo hace cuatro años vengo negociando muy bien con (Ininteligible). Yo le he abierto mis contratos"". Él ha ido en forma decente, ética, etcétera, etcétera, le ha mostrado lo que él tiene. Entonces, la Telefónica no puede ignorar. Sabía cuánto te costaba, qué clubes tenías, si tenías preferencia o no, si tenías la primera opción o no. Todo lo conocía. Durante tres años él ha hecho negocios, pero ¿qué quiere Telefónica? Telefónica quiere quedarse con todo, ¿y qué cosa ha hecho? Ha actuado mal porque él sabía que la preferencia la tenía el Canal 4, y los tipos han ido por atrás. A pesar de que nosotros hemos aceptado la oferta que nos propusieron los de la Alianza, lo aceptamos por carta notarial ¿no? Y ellos se van por atrás y firman un contrato con el Alianza Lima. O sea, que los que se han portado mal son ellos. Todavía él le dice al señor: ""mire, mira..."", porque ya teníamos tres whiskys adentro, y ya era de tú y vos todo: ""queremos arreglar esto"", ""sí, cómo no""."
El señor CROUSILLAT CARREÑO.—	 (Ininteligible).
El señor CROUSILLAT LÓPEZ TORRES.—	 Pero tu gente, tú no, pero tu gente ha firmado este contrato a sabiendas de que el negocio era nuestro; además, lo queríamos hacer con ustedes. Recuerden que ellos metieron a Schultz.
El señor CROUSILLAT CARREÑO.—	 Ellos entraron al 5. Es como que yo mañana te imponga a BellSouth a hacer un negocio de este tipo.
El señor CROUSILLAT LÓPEZ TORRES.—	 Ellos van a sacar a Schultz de eso, porque no les conviene...
El señor CROUSILLAT CARREÑO.—	 (Ininteligible). No había nada.
El señor MONTESINOS TORRES.—	 Estaba en la luna.
El señor CROUSILLAT CARREÑO.—	 En la luna.
El señor CROUSILLAT LÓPEZ TORRES.—	 Estaba en la luna.
El señor MONTESINOS TORRES.—	 Si ellos sacan a Schultz, entonces el asunto fácil, dentro de 10 días ¡pam!, lo tiramos abajo eso...
El señor CROUSILLAT LÓPEZ TORRES.—	 Hay que tirarse a Masías y a la mierda.
El señor MONTESINOS TORRES.—	 Terminó el problema.
El señor CROUSILLAT CARREÑO.—	 Yo voy a proponer el lunes algo, si tú...
El señor CROUSILLAT LÓPEZ TORRES.—	 Yo le voy a dar a Telefónica lo que él le ofreció....
El señor MONTESINOS TORRES.—	 Así es.
El señor CROUSILLAT LÓPEZ TORRES.—	 Ya hacemos... Porque a mí me conviene, a nosotros nos conviene y a todos nos conviene quedar bien con Telefónica porque tenemos otros negocios que vamos a hacer más adelante con Telefónica. Íntimos amigos del Presidente de Telefónica, porque le gusta el buceo, la pesca, las 'hembritas'.
El señor CROUSILLAT CARREÑO.—	 Eso quiere decir, yo tengo una reunión a las 9 de mañana el lunes con uno de sus empresarios...
El señor CROUSILLAT LÓPEZ TORRES.—	 Con Manzanares ¿no?
El señor CROUSILLAT CARREÑO.—	" Entonces le voy a decir: ""mira, firmamos el contrato nosotros, porque por la vía legal no vas a conseguir nada""."
El señor MONTESINOS TORRES.—	 Así es.
El señor CROUSILLAT CARREÑO.—	 Firmamos el contrato por 7 años. La mitad del fútbol para Telefónica, pero para el cable no funciona, eso sí; la otra mitad exclusivo para el canal.
El señor MONTESINOS TORRES.—	 (Ininteligible).
El señor CROUSILLAT LÓPEZ TORRES.—	 Yo no firmaría a 7 años, yo firmaría a 3.
El señor CROUSILLAT CARREÑO.—	 ¿Por qué? (3)
El señor CROUSILLAT LÓPEZ TORRES.—	 Primero, porque es el tiempo que dura la presidencia del Alianza; segundo, porque nosotros dentro de 3 años estamos con el CAE.
El señor CROUSILLAT CARREÑO.—	 Dentro del cable.
El señor CROUSILLAT LÓPEZ TORRES.—	 El problema del identikit, nosotros queremos meternos en eso, yo ya estoy negociando.
El señor CROUSILLAT CARREÑO.—	 La primera que vamos a traer va a ser ti, al comienzo tienes que decirnos...
El señor CROUSILLAT LÓPEZ TORRES.—	 Entonces, dentro de 30 años ya estamos listos nosotros de quedarnos con nuestro, tenemos canal y tenemos estadio para el fútbol, o sea, que por otro lado, me hace un argumento al tipo de la Alianza, éste tipo comprometió a la institución por ocho años.
El señor CROUSILLAT CARREÑO.—	 Tres años.
El señor CROUSILLAT LÓPEZ TORRES.—	 Tres años es lo que dice el estatuto, tres años no pagar, y una primerísima opción con precio con todo que nos quedemos nosotros para renovarlos.
El señor CROUSILLAT CARREÑO.—	 Los próximos tres años.
El señor CROUSILLAT LÓPEZ TORRES.—	 Porque ya no te compromete con Telefónica a más tres años, ese es mejor. Yo hablé con el Veco.
El señor CROUSILLAT CARREÑO.—	 Entonces esa es la idea.
El señor MONTESINOS TORRES.—	 Si, si, claro.
El señor CROUSILLAT LÓPEZ TORRES.—	 Queda listo Telefónica, te reserva tus derechos para tu escaño más adelante.
El señor CROUSILLAT CARREÑO.—	 Es un tipo de confianza, no es un tipo ladrón, es un tipo decente, es otra cosa.
El señor El señor CROUSILLAT LÓPEZ TORRES.—	 No, y hemos acordado una cosa, vamos a hacer una escuela, si entramos con Alianza, va a ser una escuela para los calichines (risas). No, vamos a pedir un terreno, pero un terreno como un semillero, para que él se ponga la medalla, ponga su medalla y que sirva además. Fíjate éste desgraciado de Pío Dávila me llevó a pasear un día por el Alianza, primer año que he ido, y me enseña una silla de dentista, que habían comprado en la parada, donde faltaban los brazos, me dice este es el set que hemos comprado odontológico para curar a los hijos de los socios, le vamos a dar servicio dental de odontología.
El señor MONTESINOS TORRES.—	 No tenía ni silla.
El señor CROUSILLAT LÓPEZ TORRES.—	 No tenía la silla, no tenían la silla, la silla lo habían comprado en la parada y le faltaban tres brazos. Son unos ladrones.
El señor MONTESINOS TORRES.—	 Roban de todo.
El señor CROUSILLAT LÓPEZ TORRES.—	 Se roban todo, son unos dirigentes de cuarta.
El señor MONTESINOS TORRES.—	 Bueno, entonces, quedamos así, estamos al día sobre el tema, el lunes hable usted con la gente que le ponga las entrevistas, gracias acá al escenario para que no haya problemas, no se sientan que entienden o no entienden el tema.
El señor El señor CROUSILLAT LÓPEZ TORRES.—	 No, no, el juicio está de (ininteligible) acá. (diálogo).
El señor MONTESINOS TORRES.—	 “Río revuelto, ganancia de pescadores”, es lo que ha querido decir, anteriormente.
El señor CROUSILLAT LÓPEZ TORRES.—	 Él le dijo bien claro al de la Telefónica ayer, tu no me puedes sentar, es como si yo te sentara a ti con el de BellSouth, te vas a enojar, eso me pasó a mí, entonces ahí dijo te entiendo, qué bueno.
El señor CROUSILLAT CARREÑO.—	 Allí me dijo: ¿lo solucionamos? De todas maneras, dijo él.
El señor CROUSILLAT LÓPEZ TORRES.—	 Mira, fue el presidente, fue el gerente general, fue este muchacho, señor Meier, que fue ministro de Pesquería.
El señor MONTESINOS TORRES.—	 Ludwing Meier.
El señor CROUSILLAT LÓPEZ TORRES.—	 El canoso, los tres estaban en la cena, me parece que es el director.
El señor CROUSILLAT CARREÑO.—	 Está en capacidad.
El señor CROUSILLAT LÓPEZ TORRES.—	 Es un director de la Telefónica.
El señor MONTESINOS TORRES.—	 Claro es un empleado. (diálogo)
El señor CROUSILLAT LÓPEZ TORRES.—	 Están enojados, habló de la relación, como es posible las relaciones, amaneció un poco  triste, está a 3.52 pues el dólar (risas).
El señor MONTESINOS TORRES.—	 Bueno maestro, nos vamos.
Background	—Al mismo tiempo se levantan de sus asientos el señor Vladimiro Montesinos Torres, el señor José Francisco Crousillat Carreño y el señor Francisco Crousillat López Torres, en ese orden se retiran de la sala.
El señor CROUSILLAT LÓPEZ TORRES.—	 Está muy elengante el día viernes. No, no, me cambié porque estaba incómodo, había estado desde temprano.
—	 Fin de la grabación.
Background	—Fecha de transcripción 8 de marzo de 2001.
speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VÍDEOS N°. 1347, 1348 REUNIÓN DR. - CROUSILLAT (H) - GISELA DE FECHA 26 DE FEBRERO DE 1999 —Se observa al señor Crousillat Carreño y a la señora Gisela Valcárcel reunidos en una sala conversando. Frente a ellos hay una mesita de centro.
La señora VALCÁRCEL, Gisela.—	 Bueno, así que me regreso para Semana Santa, vamos a ver cómo va. Si todo sale bien, te digo, la verdad es que (ininteligible).
El señor CROUSILLAT CARREÑO.—	 No, pero siempre hay cosas que hacer. Además, no te puedes quedar en Inglaterra (ininteligible).
La señora VALCÁRCEL, Gisela.—	 No me puedo quedar, claro. Tengo que trabajar, igual no sabía que me iban a pasar tantas cosas en tan poco tiempo.
El señor CROUSILLAT CARREÑO.—	 ¿Fuiste sola?
La señora VALCÁRCEL, Gisela.—	 Me fui con tres amigas.
El señor CROUSILLAT CARREÑO.—	 A mataperrear, a caminar ... zapatillas, jeans (ininteligible).
La señora VALCÁRCEL, Gisela.—	 Además, una de mis amigas, su hija, el esposo ha sido destacado allá; o sea, tenía casa en Granada (ininteligible). Y Cristhian me había dado un dato, me dice que parece que han hablado que es la casa de una señora que le dicen la “Anselma” (ininteligible).
Background	—El señor Vladimiro Montesinos Torres ingresa a la sala y saluda a los presentes.
El señor MONTESINOS TORRES.—	 Hola, ¿cómo está?
La señora VALCÁRCEL, Gisela.—	 Muy bien, felizmente.
El señor MONTESINOS TORRES.—	 Hola, qué tal, ¿cómo estás? Asiento.
La señora VALCÁRCEL, Gisela.—	 Gracias. ¿No molesta que fume?
El señor MONTESINOS TORRES.—	 No, al contrario.
La señora VALCÁRCEL, Gisela.—	 (Ininteligible) el cenicero.
El señor MONTESINOS TORRES.—	 No, por qué pues, está en plena libertad.
La señora VALCÁRCEL, Gisela.—	 Es que, bueno, en la oficina de José no hay tan plena libertad ¿ah?
El señor MONTESINOS TORRES.—	 Él es un poco tirano, pero en el tema del cigarro nada más. Además, cuando se trata de damas ...
El señor CROUSILLAT CARREÑO.—	 No, por favor, Gisela fumaba bastante...
El señor MONTESINOS TORRES.—	 Hay  absoluta libertad cuando se trata de Gisela.
La señora VALCÁRCEL, Gisela.—	 Yo entraba y entonces todo el mundo decía: sí entras tú, entonces sí podemos fumar.
El señor MONTESINOS TORRES.—	 Claro.
La señora VALCÁRCEL Gisela.—	 Y me dejaba fumar. ¿Qué tal?
El señor MONTESINOS TORRES.—	 Bien, felizmente. Aquí bastante mortificado como le decía a José Francisco por la infamia ...
La señora VALCÁRCEL, Gisela.—	 Terrible.
El señor MONTESINOS TORRES.—	 Que te están haciendo y de la cual nos solidarizamos contigo.
La señora VALCÁRCEL, Gisela.—	 Hoy día, hace como dos horas, me ha llegado ya la notificación, el juez actuó con una celeridad que aplaudí y ha parado la publicación del ...
El señor MONTESINOS TORRES.—	 Claro, o sea, ha salido la medida cautelar.
La señora VALCÁRCEL, Gisela.—	 Exacto. Pero, bueno ...
El señor MONTESINOS TORRES.—	 Claro, por eso yo lo decía con la cautelar hemos parado el tema de que eviten esta difusión del libro.
La señora VALCÁRCEL, Gisela.—	 Igual ese es un tema que aquí ha tenido la gota que ...
El señor MONTESINOS TORRES.—	 Que ha rebalsado.
La señora VALCÁRCEL, Gisela.—	 Que ha rebalsado. En algunos instantes hablando con amigas mías me dicen: Gisela, la pasividad tuya ya no era para aplaudir, era para pegarte porque no has dicho nada ...
El señor MONTESINOS TORRES.—	 Claro.
La señora VALCÁRCEL, Gisela.—	 Creo que ha sido buenísimo hacerlo. Como hoy día en una entrevista en CPN, en Radio Programas; en CPN un 78% decía que (ininteligible), un 78%, 13 no sabía/no opinaba y el otro no sé qué cosa era, muy pocos.
El señor MONTESINOS TORRES.—	 Claro, es que en realidad, digamos, ...
La señora VALCÁRCEL, Gisela.—	 Es algo que le compete a todos.
El señor MONTESINOS TORRES.—	 Y evidentemente porque a nadie le gusta que le toquen la intimidad sea cierto o sea  verdadero.
La señora VALCÁRCEL, Gisela.—	 Claro.
El señor MONTESINOS TORRES.—	 La intimidad pertenece al ámbito propio de la persona, eso no tiene porqué ventilarse a nivel de la opinión pública, y más aún tratándose de hechos particulares, íntimos, que no tienen por qué ...
La señora VALCÁRCEL, Gisela.—	 Ha dolido más que sea una persona que en algún momento compartió conmigo, porque (ininteligible).
El señor MONTESINOS TORRES.—	 Bueno, pues, son las deslealtades que se encuentran en la vida ¿no?
La señora VALCÁRCEL, Gisela.—	 Yo siempre digo que esto es para que yo aprenda a observar personas. Pero, bueno, hay que vivirlo y está bien. Ya está. Lo que no voy a permitir es que ...
El señor MONTESINOS TORRES.—	 No, pero está bien que hayas tomado una determinación de hacer respetar tu posición de mujer, fundamentalmente de mujer; en segundo lugar, respetar tu dignidad; y, tercero, evitar de que un tipo venga y te maltrate ...
La señora VALCÁRCEL, Gisela.—	 Porque con ese concepto mañana venía una empleada de hace 5 años y decía: yo viví en la casa de la señora Gisela ...
El señor MONTESINOS TORRES.—	 Viví esto y tanto ...
La señora VALCÁRCEL, Gisela.—	 Entonces voy a contar y contaba cualquier historia. Acá ya  no es si es que es verdad o mentira ...
El señor MONTESINOS TORRES.—	 No, no, ya la gente, todo el mundo especula.
La señora VALCÁRCEL, Gisela.—	 Dame el nombre para ...
El señor MONTESINOS TORRES.—	 Así es, eso hay que frenar eso y además es un buen punto para que se vea que el libertinaje tiene límites.
La señora VALCÁRCEL, Gisela.—	 Tiene.
El señor MONTESINOS TORRES.—	 Tiene sus límites y los límites que amparan el derecho a la intimidad, el derecho a la intimidad, a la privacidad de las personas y esencialmente a la tranquilidad, porque revelar la intimidad que le pertenece a uno, no le pertenece a la opinión pública.
La señora VALCÁRCEL, Gisela.—	 Porque uno cierra su puerta para eso, uno no está en la calle.
