speaker,speech,speaker_std,source_file
El señor Nicolás de Bari Hermoza,"General, nuevamente en gratitud no solamen te a la amistad, sino quisiera acá yo destacar además de lo que se ha expresado por las autoridades y los señores ministros, que esto merece a un liderazgo político del Perú, a una lucha integral donde la parte operativa, fundamentalmente la policía y la Fuerza Armada y la Comunidad de Inteligencia dirigida por el Servicio de Inte ligencia Nacional, han hecho posible todo esto. Pero yo quisiera destacar dos he chos importantes de los cuales el general McCaffrey es testigo de excepción. Las fo tografías que hemos visto creo que son posteriores a cuando el general McCaffrey tuvo la oportunidad y el honor de acompañarnos, en dos oportunidades a Yurimaguas y bajamos en Tocache, y bajamos en Uchiza, y bajamos en Tarapoto y naturalmente Yurimaguas, cuando en esa época estaba el radar. En el último viaje del general McCaffrey le expresamos que el costal, que se llama acá la arroba de coca, había disminuido de 70 u 80 soles a 4 ó 5 soles y que eso era gracias a todo el esfuerzo de las fuerzas del orden en la labor de interdicción, par ticularmente en el combate al terrorismo para separarlo del narcotráfico. Pero tam bién pudimos apreciar en el Huallaga pueblos que habían quedado empobrecidos; naturalmente la droga estaba escondida por ahí. Ahí convenimos y entendimos el problema, de que era el momento... [salto de gra bación] ... y que está más involucrado que todo el mundo, como es Sudamérica. No se entendía el problema, ni del terrorismo ni del narcoterrorismo, menos las implicancias que tiene el narcotráfico como un fenómeno y como una amenaza; y ahora con admiración podemos observar cómo este tema es un tema principal y un compromiso principal de la Cumbre de las Américas. Eso, creo, lo debemos al liderazgo y a la perfección precisa y al trabajo tan profesional que tiene Esta dos Unidos y, fundamentalmente, el general Barry McCaffrey en la lucha contra el narcotráfico. En lo que es nuestro, ya conoce usted, mi general, que en todos los niveles de la Fuerza Armada estamos apoyando esto y vamos a seguir apoyando, porque no so lamente es un esfuerzo del gobierno constitucional, ya que parte de la estrategia di señada, y que la Fuerza Armada hace suya, tiene un marco, ese marco como lo ma nifestaba siempre es el marco constitucional, es el marco de una democracia y es el marco de respeto a los derechos humanos porque empieza por allí; el cultivo alter nativo es parte de los derechos humanos y el respeto hacia esos derechos humanos nos acerca al pueblo y a los ciudadanos. Que los ejes así como la Comunidad de Inteligencia liderada por el Servicio de Inteligencia Nacional ha sido otro de los pilares que nos ha permitido derrotar al terrorismo y separar ese fenómeno que cuando no se logra derrotar deviene en narcoterrorismo y eso genera, como es natural y como sabemos todos, corrupción generalizada y delincuencia común organizada y esos, creo, son los flagelos que estamos tratando de evitar y ahora más con la comprensión y el compromiso, creo, de todos los países del área. Por eso que su presencia en la Cumbre de las Américas acá en el Perú, mi general, es sumamente valiosa y nosotros agradecemos la comprensión que tiene usted. La Fuerza Armada estará siempre al servicio de esta causa y de esta amenaza que es no solamente nuestra, es del continente y de todo el mundo.",HERMOZA,19.csv
La señora CUCULIZA TORRE.—,"Me dice, un mil 200 soles me dice este señor.",CUCULIZA,20.tsv
El señor MONTESINOS TORRES.—,"Pero después cuánto saca, ni tres mil soles después de cuarenta años de servicios.",MONTESINOS,20.tsv
La señora CUCULIZA TORRE.—,"Ya, es una cosa ya que nos deja intranquilos, ¿están inhabilitados por qué? Porque él con plata del municipio compró acciones de riesgo en la bolsa a un tal Surge, a un tal viejito que se murió en la cocina Surge. Entonces, esa tienda quebró y el Municipio de San Borja perdió un millón y medio de soles, porque yo le dije cuando (ininteligible). Presidente del Tribunal que yo vaya ahorita que saque toda la plata que hay de San Borja y me vaya a jugar maquinita. Si gano preferible está bien el trabajo que San Borja al doble y si no gano, eso es lo que hecho él.",CUCULIZA,20.tsv
La señora CUCULIZA TORRE.—,"Entonces, han trabajado con cuatro sinvergüenzas (ininteligible) era del Estado y a los funcionarios los desaparecía y los botaba y uno está preso por diversos, en muchos  municipios y a ellos les obligaban a devolver un millón de soles y al Banco Continental un millón 200 mil e intereses de esa plata. Y entonces, el hombre me la tienen jurada hasta por el alma porque hasta su casa han tenido que vender para pagar, entonces en cuanto pueden me hace daño, me tratan de extorsionar por teléfono, de insultarme.",CUCULIZA,20.tsv
La señora CUCULIZA TORRE.—,"No, ya (ininteligible) depositado en el grupo aéreo lo he dejado (ininteligible) en el Sol (ininteligible).",CUCULIZA,20.tsv
La señora CUCULIZA TORRE.—,"Son donaciones de carnes, enlatados, de frejoles en todo el Sol está en el grupo aéreo (ininteligible) está en el Sol (ininteligible).",CUCULIZA,20.tsv
La señora CUCULIZA TORRE.—,"Ah, Dios mío me salve de la Victoria y de Surquillo, ..(ininteligible) y como le dije solo (ininteligible pero que quiere que haga alcaldesa, pues en San Borja tiene mas de 100 soles.",CUCULIZA,20.tsv
La señora CUCULIZA TORRE.—,"A quien le voy a robar en Surquillo, porque no tienen ni 4 soles.",CUCULIZA,20.tsv
La señora CUCULIZA TORRE.—,"Es buena y productiva. Entonces, ven pasar San Isidro, Miraflores, Surco y San Borja, y empieza los carretilleros a perseguir, y por cada bolsa que tiran son 2 soles. Llegan a la chanchería, ya tienen su parte; llegan al depósito de cartones, ya tiene su parte; llegan al depósito de vidrio, ya tienen tiene su parte. Pero qué le va a decir, y eso pues por lo menos dije yo puedo trabajar mi (ininteligible) de que todo que es efecto contagioso se separe.",CUCULIZA,20.tsv
El señor MONTESINOS TORRES.—,El Presidente del Jurado Nacional de Elecciones debe estar ganando más o menos como Presidente de un Poder del Estado. Debe estar ganando como alrededor de 15 mil soles o algo así.,MONTESINOS,21.tsv
El señor MONTESINOS TORRES.—,"Oye, hermano, pero cuando yo le explique a tu mujer, carajo, tu mujer te va a entender, hermano. Primero, vas a estar (ininteligible). Yo, aparte del sueldo, así sea 10 ó 15 mil soles, yo te voy a dar 10 mil dólares mensuales. No va a haber ni recibo, ni cojudeces, hermano. O sea tienes que apoyarme, porque tú tienes un hijo, familia, esas cosas. Ahora, ese dinero ya tú lo manejas como te dé la gana. No hay ningún problema, para mí no vas a firmar ni nada por el estilo. Vienes todos los meses, nos reunimos y yo te entrego tu sobrecito y se acabó, y entonces ya no tienes el problema de ajuste económico. Te voy a dar la mejor seguridad que hay en el país.",MONTESINOS,21.tsv
El señor Patricio Arancibia,"Más de una hora, diría yo, y el sol hoy día estaba lindo.",ARANCIBIA,25.csv
El señor MONTESINOS TORRES.—,"Porque solamente deja calentar el cuerpo. (Risas.) Bueno, entonces, agarra ella y dice la seguridad, vamos al Congo. Uy, le dije. Tu sabes que el doctor es un hombre muy pasivo. Está sentado en el carro (ininteligible) llama, haber, venga el mayor, el de la seguridad. Viene el mayor, sí, señor (ininteligible) póngame todos los carros en línea ahí en el malecón y todo el mundo baje a mirar el ocaso del sol, (5) pues todo el mundo va a ver. Sí, qué hacemos, señor: Todo el mundo mire (ininteligible) y todo el mundo va a mirar. Todos están mirando; y el Fiscal de la Nación, déjenlo tranquilo en un carro que se duerma el viejito. Entonces, bajan todas la escoltas, están dos horas ahí mirando. En consecuencia, son exquisiteces que se dan (ininteligible)",MONTESINOS,26.tsv
El señor MONTESINOS TORRES.—,"Lógico, entonces qué pasa, lo mandan en los caballos en la oportunidad al doctor, ¿por qué?, porque el mayor de la escolta comenta: No, el doctor fiscal (ininteligible) el viejito sentado en el carro así como (ininteligible) el viejito, sentado en el carro dos horas ¿y ella?, con toda la escolta. Oiga, mire para acá, venga uno sosténgame (ininteligible) estoy pintando, el otro no; mire usted para allá, a ver diga cómo va el Sol. Entonces, esos detalles que lo puede hacer en el (ininteligible) así hablen de quien, es la imagen del hombre, porque el hombre tiene el carro y no la mujer, entonces parece que hay una ginecocracia ¿no?, esas son los detalles. Claro, yo no tengo la confianza como para decir doctor, pero tampoco él no tiene el valor de ponerse los pantalones y de poner en su sitio, porque ella es la que tiene el timón. Entonces cositas así que son diferentes y en contraposición a lo que a usted hace que hay escolta hay que darle su propina, su almuerzo, sus cosas, la gente se siente contenta porque son seres humanos como nosotros.",MONTESINOS,26.tsv
El señor SANTANDER.—,30 soles.,SANTANDER,27.tsv
El señor MONTESINOS TORRES.—,"Que se gana 30 soles, estos miserables tienen 20 fulanos y por arrebatarle 500 dólares matan a 3 ó 4. Entonces, la amenaza no solamente va para el poderoso, para el (?) o para el rico, va también para el pobre, para el hombre del pueblo. Este estado de zozobra va para tirios y troyanos. Y ¿qué pasa, cuál es la conclusión en el extranjero? Automáticamente todas las agencias internacionales que venden pasajes dicen: “Perú, país nuevamente de alto riesgo, no recomendable para viajes de turismo”. ¿Qué implica eso? Implica que una de las principales fuentes de ingreso para el Perú, que es el turismo, decrece; o sea, que hace daño a la economía. Segundo, el inversionista extranjero quiere estabilidad en un país. Yo no puedo venir a invertir si veo que esto es Colombia, estamos entrando a un proceso de colombianización. Entonces, sí estamos atentando contra la estabilidad del Estado; o sea, atentando contra la economía, (6) la inversión, atentamos contra el turismo y, finalmente, contra lo más importante del cuerpo social, que es la tranquilidad ciudadana. O sea, frente a ese hecho, ¿qué tiene que hacer el Estado? Tiene que defenderse, ¿y cómo se defiende? Tiene que crear una normatividad sui géneris para hacer frente a esta coyuntura. Cuando esa coyuntura desaparezca —como dijo el Presidente— tendremos que volver a la normalidad y tendrán que desaparecer los tribunales (?) Entonces, temporalidad es lo mismo. ¿Por qué existieron los tribunales militares y los jueces sin rostro en la época del terrorismo? Porque el estado de necesidad y la defensa nacional obligó al gobierno a tomar esta decisión. Y fue sabia la decisión, porque logramos erradicar y frenar el fenómeno; pero desapareció o hemos o superado el fenómeno parcialmente y estamos volviendo al estado de paz. ¿Porque el derecho qué cosa es? La regulación de normas que aseguren la convivencia pacífica. Pero si la convivencia pacífica sale del Estado tradicional y entramos a una situación de guerra irregular, entonces el Estado tiene que defenderse. Entonces, hay un famoso libro que se llama La guerra irregular moderna que dice que el Estado de derecho se ve atacado en una forma irregular; y en ese ataque de guerra irregular, el ordenamiento vigente resulta siendo el mejor aliado del adversario que busca de la desestabilización de la democracia y del estado de derecho, porque el andamiaje jurídico...",MONTESINOS,27.tsv
El señor MONTESINOS.—,"Porque en la calle cuánto gana un general de división, mil 500 soles, mil 800 y después de 30 años de servicio.",MONTESINOS,28.tsv
El señor SANTANDER.—,"Está hablando de cosas concretas: mil 800 millones de soles para manejo del fenómeno de El Niño, la lucha contra el crimen avanza. Pues entonces se está dando (ininteligible).",SANTANDER,28.tsv
El señor GONZALES REÁTEGUI.—,Que vendría a ser entre 350 mil soles.,REATEGUI,29.tsv
El señor MONTESINOS TORRES.—,"Sí, me mandó el ingeniero una listita de Soles 85 Mil y le estoy dando en dólares.",MONTESINOS,29.tsv
El señor GONZALES REÁTEGUI.—,(¿?) 85 mil soles.,REATEGUI,29.tsv
"El señor BEDOYA DE VIVANCO, Luis.—","Soles, ¡no!, son dólares.",BEDOYA,29.tsv
Desconocido,"Y al muchacho le digo vamos, tengo hambre. me fui a comer, 18 soles nomás, un plato nomás he pedido, pollo con champiñones y verduras y un platito de arroz ..(ininteligible)..",DESCONOCIDO,31.tsv
El señor MONTESINOS TORRES.—,"Tú estás pensando como cajero: soles más, soles menos. No es así. Además, hay una cosa que es fundamental. Si yo quiero medir, te digo, ¿tú quieres medir el desbalance patrimonial y vas a comparar la declaración del año 97 con el patrimonio de la persona vas a encontrar un desbalance en el 100%. ¿Por qué? Me dice. Yo he comprado una casa el año 90 y la he ido pagando 91, 92, 93 con mis ingresos. El 97 esa casa vale —digamos— 300 y he declarado el 97 100. Entonces, tú me vas a ver un desbalance de 200. Vas a pedir, vas a pensar de que obviamente hay una situación de enriquecimiento indebido de la evaluación. Entonces, si tú me dices: ""voy a hacer una evaluación de los últimos cinco años de ingresos"" con lo que yo he comprado en los últimos cinco años sí puedes tu comparar proporciones. Pero no me puedes cobrar proporciones lo que has ganado en un sólo año que es el impuesto del 97 porque el patrimonio que tu has obtenido en toda la vida.",MONTESINOS,32.tsv
"El señor ASESOR DE LA ALTA DIRECCIÓN DEL SERVICIO DE INTELIGENCIA NACIONAL (SIN), Doctor don Vladimiro Montesinos Torres.—","Entonces, van orientando la pregunta en un sentido malicioso. Hay una cosa fíjense: El aumentar 100 soles a los jubilados, 100 soles, que no es nada, significan 4 mil millones al año. Y el Presupuesto de la República es 24 mil millones, o sea nos quedarían 20 mil para todo el problema del Estado; entonces es imposible.",MONTESINOS,32.tsv
"El señor ASESOR DE LA ALTA DIRECCIÓN DEL SERVICIO DE INTELIGENCIA NACIONAL (SIN), Doctor don Vladimiro Montesinos Torres.—","Ahora, por ejemplo, a mí, mi responsabilidad, ¿qué pasaría si nosotros decimos: “bueno, auméntese 500 soles a la Fuerza Armada.”?",MONTESINOS,32.tsv
El señor HURTADO MILLER.—,"La de Sol y la de (?) y tenía seis personas en frente, entonces llámate a (?), por favor, y se me paga la luz, no había luz en la oficina, se acabó, la central se malogró, voló. Y entonces, desesperado una entrevista espantosa y además ella insistía y me dejé llevar, en la entrevista se nota (?), ella se hace la entrevista a ella y yo no contesto, ni preguntó. Ella dice: “contesta tal cosa”, (?).",HURTADO MILLER,33.tsv
El señor MONTESINOS TORRES.—,"Entonces, tenemos que entrar en una política de (?) por el tema del presupuesto, porque esa es la debilidad del tipo y en un punto que lo golpea, porque hoy día va a tener una rating de 34 a 35 puntos. Entonces, todos los ciudadanos de Lima que están viviendo en Villa El Salvador, Comas, el Agustino, que son los sectores C y D que están hasta acá con los arbitrios porque ganan poco (?), ¿por qué se han incrementado exorbitantemente los arbitrios? Es preocupación mía la racionalización de los arbitrios, yo no puedo incrementar los arbitrios a una persona que gana 300, 400 soles. Entonces, cómo me voy a dar el lujo de hacer eso, y qué ha hecho con esa plata?, ¿cuál es el presupuesto que tiene?, ¿por qué ha incrementado tanto los arbitrios si tiene un presupuesto determinado?, ¿ a dónde se ha destinado ese aumento  de los arbitrios? ¿a pagar la burocracia, a despedir, no pagar a los trabajadores, despide trabajadores, trae nuevos trabajadores?, ¿a dónde se va ese dinero?. ¿O los gastos de la publicidad que hace?, ¿o el juicio con Lucchetti?, ¿cuánto le ha costado el juicio con Lucchetti?, ¿cuánto le ha costado a la Municipalidad la publicidad?, ¿cuánto ha costado la publicidad que ha hecho la Municipalidad por el juicio con Lucchetti (?), ¿de dónde han salido esos fondos? Ha salido de usted, señor Lúcar, de mí, de todos los vecinos, con la plata pagamos nuestros arbitrios. ¿Eso es justo?",MONTESINOS,33.tsv
El señor MONTESINOS TORRES.—,2 años son 30 mil soles.,MONTESINOS,33.tsv
El señor BOROBIO.—,"No, pues. A ver, vamos a ver. Titulares en los periódicos. ¿Usted ha estado con Sol Carreño ya o no?",BOROBIO,34.tsv
El señor HURTADO MILLER.—,"Puede se. Bueno, Canal 4 me iba a sacar la noticia. El miércoles era en Canal 4 a las 7 y 30 con Sol Carreño y con —¿cómo se llama?— Federico, el miércoles a las 7 y 30 lo iba a arreglar (?). Pero, de repente, ese día, pues, atosiga ¿no? porque ese...",HURTADO MILLER,34.tsv
El señor HURTADO MILLER.—,"Por que me acostumbré,  toda la vida en libras desde Estados Unidos, como yo todo lo veo en dólares, no veo en soles, (?), cuánto vale. Voy a comprar a la plaza con mi mujer, al mercado y le digo: “mira qué barato, 25 soles”. “Cómo va a ser barato, si es una barbaridad”. (?), le di seis dólares, siete dólares. “Estás en la luna, oye”, y no me deja comprar más. No tengo la menor idea si los soles son baratos o son caros, con dólares sí sé. Por ejemplo, una botella de vino yo sé que 10 dólares es mi estándar, diez, doce, pero en soles.",HURTADO MILLER,34.tsv
El señor MONTESINOS TORRES.—,"Y cuando salga le pagaremos 200 mil soles, qué chucha; o sea, le pagamos esa huevada. Hermano, acá (ininteligible) lamentablemente con dinero y tantas cojudeces.",MONTESINOS,35.tsv
El señor Vladimiro Montesinos,"Perfecto, no hay problema, las siete acá, me parece bien, o sea, le recoge seis y media, a las seis, entonces, no va a haber ningún problema. Y de esa forma le damos la mano, porque todo el mundo tiene derecho a una opor tunidad, porque errores podemos cometer, yo creo que esta no se va a hacer en for ma intencional, es problema de drogadicción, que es un vicio que puede tener cual quier persona y lamentablemente, pues, ése es delito, vamos a trabajar ambos, (?) la Dinandro, ¿no? Le voy a contar, por ejemplo, un trato de un amigo que tengo yo, este muchacho también sufre del mismo problema de consumo y ¿qué pasa? El otro día va (?) seis meses, tomó un taxi y no tenía dinero en ese momento, enton ces, aserró y le puso al taxista por atrás. Entonces le dijo: ""Dame lo que tienes"". El taxista pensó que era un hacha, el taxista agarró y le entregó los 20 soles que tenía, en otro lugar para y baja, entonces, se paró, era por (?) y justo había parado el ta xista frente a la Embajada del Ecuador, cuando el otro se ha ido tranquilamente ca minando con los 20 soles el taxista ha dicho. ""Señor me han atacado, me han robado""; lo han agarrado y lo han encontrado con los 20 soles, no tenía arma, lo han metido adentro y lo han mandado ocho años de prisión por asalto y robo. Y fíjese, por 20 soles, él solamente quería los 20 soles para comprarse un pitillo (?) v mire usted lo que (?) ocho años de prisión. Entonces, viene la mamá, me lleva a mí y le digo, ""Lamentablemente, las leyes son curas, (? un robo una cosa así, pero no tenía armas (?), efectivamente no está reconocido que tenía una cosa (?) pero cuando lo han hecho (?) no lo han encontra do absolutamente nada, ¿qué se llevó? Se llevó 20 soles y nada más, eso es lo que pudo llevar; sin embargo…",MONTESINOS,37.csv
El señor Francisco Kouri,"Yo no sé por qué. Como ha pasado una vez, éste ha brá pasado. Mira, la primera vez que voy a España, yo le compro a él, hermano, y como le digo al pata, yo tengo tarjetas de crédito porque la gente, yo doy confianza. Jamás en mi vida he estafado a nadie, jamás en vida yo le he dejado de pagar un sol a alguien hermano, ¿ya?, yo...",DESCONOCIDO,38.csv
El señor Francisco Kouri,"Nada, solamente este pata, yo lo he visto, hermano, el día lunes en Larco, ¿ya?, y como yo sabía que él vendía droga, que vende droga, le digo ""Por favor"", le digo, ""hazme este servicio"" ¿ya?"". Le compro 55 gramos, le pa go 330 soles, ¿ya?, y me mandó una carta para España, ya.",DESCONOCIDO,38.csv
El señor Francisco Kouri,A 6 soles.,DESCONOCIDO,38.csv
El señor Antonio Ibárcena,"No hemos resuelto el problema de medicina este año, continúa estancado allí; en los laboratorios hay una pérdida de, más o menos unos 100 mil soles mensuales. Ahora, el nuevo directorio está (?) 30 mil dólares ya.",IBÁRCENA,39.csv
El señor MUÑOZ ARCE.—,"No, la ONPE les ha dado una cojudez. Yo te digo honradamente, hermano, que las cosas también han dejado. Mire, esos paquetes están en el sol para pasar de un lugar a otro lugar. Tu crees que comer esas cosas te hacen bien? Te hacen daño",ARCE,40.tsv
El señor MUÑOZ ARCE.—,"Mejor si quiere no va, pero son 200 soles de multa.",ARCE,40.tsv
Desconocido,"Sí, pero eso no cubre todos los factores, hermano. La chica me hablaba, me hablaba mucho de religión, me dijo que vivía sola, tenía su pen sión. Yo le vi una moral muy sólida, digna, es increíble. Cuando la he llamado me dijo que llame a una amiga de ella, y la amiga de ella me dice ""Si quieres salir con ella son 500 dólares"". Oye, hermano, de ahí me dije ""Nunca más, nunca más me dejo (?)"".",DESCONOCIDO,41.csv
Background,"—El señor Montesinos se acerca al señor Crousillat y comienza a explicarle el contenido de una carpeta. Porque, nosotros hemos quedado en esto ¿no es cierto? Entonces, estamos octubre, terminamos. Terminamos octubre, noviembre, diciembre y estar todo el año 99 hasta julio. ¿Ya? Me he equivocado acá, porque es julio. O sea, la suma de todo esto hasta julio, hasta julio ha terminado eso ¿ya? Entonces, dividido acá hay 119 mil mensuales. Al cambio que está hoy día son unos, un millón ochocientos mil. No he tenido tiempo de cambiar en dólares, te voy a entregar en soles ¿ya? —El señor Montesinos Torres coge una bolsa de plástico, de la cual comienza a extraer paquetes de dinero y procede a colocarlos sobre la mesa.",BACKGROUND,45.tsv
El señor MONTESINOS TORRES.—,"Sí, pues, sino, imagínate. Acá tienes 200, 400, 600, 700, 900, un millón. Acá tienes un millón de soles.",MONTESINOS,45.tsv
El señor MONTESINOS TORRES.—,"Mira, necesariamente, porque es dinero Pero yo los hubiera hecho cambiar, pero como ahí lo que tienen es necesidad de dinero, (3) yo te los entrego en soles, pero si quieres la próxima vez me das un día más, dos días más y lo cambias en dólar.",MONTESINOS,45.tsv
El señor 		.—,"(Ininteligible). Y lo haces pasar como mi hija (ininteligible), cuánto han dado, 700 soles, y en Petroperú le pagaban.",HERNANDEZ CANELO,46.tsv
El señor MONTESINOS TORRES.—,"Mil 200 soles, hermano, (7) pero son 30 años de servicio, hermano.",MONTESINOS,46.tsv
El señor Vladimiro Montesinos,"Entonces, bueno, ya, cuando murió mi abuela, ellos ampliaron, solamente quedó una parte muy pequeña de mi tío Alfonso Mon tesinos, (?) y ahí tenían un mirador. Entonces, le gustaba subir a las 6 de la tarde. 5 de la tarde porque ahí era la puesta del sol y a tomar las fotografías, muy tempra no...",MONTESINOS,47.csv
El señor Vladimiro Montesinos,"Sí. O muy temprano se levantaba de tal mane ra, que se iba arriba (?) del sol a tomar las fotografías. Entonces, tenía esa afición por la fotografía.",MONTESINOS,47.csv
