	Position	Type	Montesinos' inner circle	speaker_std	completed_bio		notes	
Jose Francisco Crousillat	TV producer with America Television	Media		CROUSILLAT				
Genaro Delgado Parker	Peruvian entrepreneur and founder of RPP	Media		DELGADO PARKER				
Luis Bedoya de Vivanco	Alcande de Miraflores	Ally		BEDOYA	X			
Tomás Gonzáles Reátegui	Ex-minister of the Presidency	Government		REATEGUI	X			
Dionisio Romero Seminario	Peruvian financeeer	Businessperson		ROMERO SEMINARIO				
General PNP Fernando Dianderas Ottone	General Director of the Police	Military or Police		DIANDERAS				
General EP Carlos Alberto Bergamino Cruz		Military or Police, Government		BERGAMINO	X			
Señora Embajadora		Foreign		EMBAJADORA				
El/la Locutora	Unknown participant in 1604			LOCUTOR				
Ernesto Schütz Landázuri	Administrator of Panamerica Television	Media		SCHUTZ				
Jorge Santistevan de Noriega	Defensor del Pueblo	Government		NORIEGA				
Eduardo Calmell del Solar	Member of the Chamber of Deputies	Congress		CALMELL				
Eugenio Bertini Vinci	General Manager of Banco Wiese	Businessperson		BERTINI				
Agustin Mantilla Campos	Congressman	Congress		CAMPOS				
Delegación Israeli	"Señor" in transcript 919	Foreign		ISRAEL				
El Oficial EP	Oficial EP	Military or Police		MILITAR DESCONOCIDO				
El Coronel Ramirez	Coronel Ramirez in transcript 1300	Military or Police		CRNL RAMIREZ				
Carlos Portillo Vazquez	Secretary General of Air Force	Military or Police		PORTILLO				
Francisco Tudela		Government						
Vicente Silva		Media						
								
								
								
Start of mentioned people* (*people that are mentioned to a degree that suggests they have some type of strategic role in Montesinos' schemes)								
Baruch Ivcher								
Francisco Kouri								
Juan Manuel Guillén								
Ketin Vidal								
Javier Silva Ruete								
Jose Enrique Crousillat				ENRIQUE CROUSILLAT				
Fernando Andrade								
Carlos Boloña								
Victor Andres Garcia Balaunde								
Javier Alva								
Luis Percovich								
Alberto Bustamente								
Fabian Salazar								
